20000	429.1
19900	425.6
19800	431.5
19700	411.7
19600	405.4
19500	419.1
19400	420.4
19300	411.5
19200	401.6
19100	404.2
19000	399.9
18900	401.6
18800	414.4
18700	419.6
18600	439.5
18500	423.0
18400	388.4
18300	390.4
18200	426.1
18100	428.8
18000	418.4
17900	412.7
17800	413.7
17700	406.1
17600	388.6
17500	375.9
17400	378.0
17300	388.5
17200	375.1
17100	365.2
17000	377.3
16900	374.4
16800	364.6
16700	354.4
16600	349.0
16500	345.1
16400	337.2
16300	335.3
16200	332.3
16100	325.9
16000	321.4
15900	316.2
15800	310.9
15700	308.4
15600	306.3
15500	302.9
15400	292.6
15300	287.7
15200	286.9
15100	285.1
15000	279.6
14900	277.6
14800	277.4
14700	257.3
14600	238.9
14500	230.8
14400	219.9
14300	213.3
14200	204.7
14100	201.2
14000	216.5
13900	196.3
13800	195.6
13700	202.1
13600	196.8
13500	199.5
13400	206.4
13300	209.0
13200	200.9
13100	211.2
13000	216.6
12900	210.6
12800	209.7
12700	233.3
12600	241.2
12500	221.2
12400	234.8
12300	214.2
12200	197.8
12100	191.8
12000	183.6
11900	181.7
11800	182.6
11700	173.2
11600	168.9
11500	153.1
11400	143.1
11300	139.4
11200	150.1
11100	153.7
11000	151.4
10900	127.3
10800	120.9
10700	123.3
10600	116.1
10500	120.9
10400	116.7
10300	105.5
10200	118.6
10100	127.3
10000	111.0
9900	102.5
9800	93.6
9700	87.2
9600	82.6
9500	95.6
9400	107.9
9300	95.7
9200	93.0
9100	85.4
9000	88.6
8900	85.2
8800	72.9
8700	68.7
8600	65.4
8500	70.5
8400	71.8
8300	81.4
8200	69.6
8100	74.3
8000	76.9
7900	83.9
7800	75.5
7700	74.3
7600	81.9
7500	89.0
7400	100.2
7300	93.3
7200	90.9
7100	92.1
7000	85.6
6900	83.8
6800	78.1
6700	80.3
6600	83.0
6500	73.9
6400	77.0
6300	77.8
6200	82.8
6100	85.3
6000	71.4
5900	81.6
5800	71.1
5700	73.7
5600	68.8
5500	70.3
5400	74.2
5300	77.7
5200	76.1
5100	57.4
5000	53.7
4900	48.5
4800	66.7
4700	52.6
4600	45.5
4500	48.3
4400	48.6
4300	35.9
4200	33.5
4100	26.9
4000	22.9
3900	23.1
3800	27.8
3700	16.3
3600	13.9
3500	9.8
3400	13.6
3300	18.8
3200	14.3
3100	9.8
3000	3.3
2900	0.4
2800	-2.3
2700	16.1
2600	8.1
2500	-6.6
2400	-9.5
2300	2.9
2200	-11.1
2100	-9.0
2000	-15.6
1900	-16.7
1800	-17.1
1700	-15.2
1600	-19.7
1500	-15.5
1400	-21.7
1300	-16.3
1200	-16.6
1100	-15.4
1000	-19.1
900	-7.6
800	-20.5
700	-15.9
600	-0.9
500	7.0
400	10.0
300	4.9
200	2.2
100	-3.4
0	-24.5
