 ,degrees East,,,,,,,,,,,,,,,chro.meth [1=U-Th; 2=Wood/Tephra; 3=Plk 14C; 3.1=Plk+R 4=Match; 5=Plateau; 6=other],,,,,,,,,,,per mil,per mil,yr BP,yr BP,,,1=Atlantic; 2=Pacific; 3=Indian; 4=Southern,,,1= value is >3 sigma the binned mean value and not used in estimating basin average.,sorting (0=using for Rafter et al. 2022; 1=Not using for Holocene comparison (see note); 1.1=Not using for global dataset (not representative of basin average; see note); 1.2=Not using for global dataset (fails first dataset pre-treatment),sedimentation rate for deepest depth is assumed to be same as next shallower,chosen from closest GLODAP measurement and/or OCIM estimated value,"error is as reported from closest GLODAP measurement and/or OCIM or (if not) is ""5""", calculated from D14C, calculated from D14C.err,1=Zhao et al. 2018; 2=Skinner et al. 2017; 3=Rafter et al. 2022,,,,bias corrected 14C ventilation age,bias corrected 14C ventilation age error
latitude,longitude,water.depth,cal.age,cal.age.err,depth.dated.top,depth.date.bottom,depth.dated.mid,station,proxy.14C.age,proxy.14c.age.err,ams.ID.benthic,proxy.D14C,proxy.D14C.err,site.name,ref.,chro.meth,chro.meth.details,planktic.species,planktic.14C.age,planktic.14C.age.err,ams.ID.planktic,planktic.D14C,planktic.D14C.err,Delta.R,Delta.R.err,calib.method ,atmos.D14C,atmos.D14C.err,atmos.14C.age,atmos.14C.age.err,D14C.bias.correct,D14C.bias.correct.err,separate.the.basins,neutral.density,simple count,threesigma1,sort,sed.rate,DIC.D14C,DIC.D14C.err,DIC.D14C.age,DIC.D14C.age.err,comp.sort,unique sites,DELTA14Cage.atmos.RAW,DELTA14Cage.atmos.RAW.err,DELTA14Cage.atmos,DELTA14Cage.atmoserr
42,-29,1756.5,12910,120,-999,-999,-999,1,11860,60,LLNL,88.95744916,13.70738519,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,209.5,3.1,11017,21,53,21,1,27.86,1,0,0,-999,-70.4,8.7,586,69,1,1,843,64,1156,64
42,-29,1756.5,13690,220,-999,-999,-999,1,12120,60,LLNL,158.5918159,13.27082829,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200.3,3.8,11836,25,123,21,1,27.86,2,0,0,-999,-70.4,8.7,586,69,1,1,284,65,597,65
38,-62,1954,15510,230,-999,-999,-999,1,13980,40,LLNL,145.4675012,7.018561475,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,303.5,7.3,12942,45,111,18,1,27.97,3,0,0,-999,-71.5,2.9,596,23,1,1,1038,60,1341,60
38,-62,1954,15410,230,-999,-999,-999,1,14120,40,LLNL,112.1426347,36.48584167,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,293.8,6.5,12905,40,78,40,1,27.97,4,0,0,-999,-71.5,2.9,596,23,1,1,1215,57,1518,57
38,-60,1784,15500,110,-999,-999,-999,1,14060,40,LLNL,132.7454679,20.7138297,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,302.9,7.2,12936,44,98,26,1,27.95,5,0,0,-999,-71.4,3.3,595,27,1,1,1124,59,1428,59
38,-60,1784,15400,110,-999,-999,-999,1,14500,50,LLNL,59.47548496,20.69312566,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,292.6,6.3,12902,39,25,26,1,27.95,6,0,0,-999,-71.4,3.3,595,27,1,1,1598,63,1902,63
38,-60,1784,15510,170,-999,-999,-999,1,13850,40,LLNL,164.1556913,29.73943326,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,303.5,7.3,12942,45,130,34,1,27.95,7,0,0,-999,-71.4,3.3,595,27,1,1,908,60,1212,60
38,-60,1784,15410,170,-999,-999,-999,1,14520,40,LLNL,58.12011679,27.03065649,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,293.8,6.5,12905,40,24,32,1,27.95,8,0,0,-999,-71.4,3.3,595,27,1,1,1615,57,1919,57
38,-60,1784,15360,400,-999,-999,-999,1,14090,60,LLNL,109.5726129,62.00666953,North Atlantic Seamounts,Adkins et al. (1998),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,288.8,6.6,12887,41,75,64,1,27.95,9,0,0,-999,-71.4,3.3,595,27,1,1,1203,73,1507,73
41.1,142.4,1366,2980,153.5,17,19,18,2,4660,80,NOSAMS/IAA,-197.1904148,22.9046298,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,N. pachyderma (s.),3290,80,-999,-47.90573074,9.52920166,0,0,2,2.8,2,2873,16,-196,35,2,27.71,10,0,0,17.6,-214.1,2.1,1935,17,1,2,1787,82,1773,82
41.1,142.4,1366,4287,177,40,42,41,2,5970,80,NOSAMS/IAA,-201.1775433,25.06264835,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,N. pachyderma (s.),4270,200,-999,-12.90552655,24.88447862,0,0,2,38.1,2.2,3868,17,-200,37,2,27.71,11,1,0,17.7,-214.1,2.1,1935,17,1,2,2102,82,2088,82
41.1,142.4,1366,5587,326.75,63,65,64,2,6630,80,NOSAMS/IAA,-138.8838881,42.62846146,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,N. pachyderma (s.),5450,220,-999,-2.628404299,27.69252139,0,0,2,74.3,1.8,4856,13,-138,50,2,27.71,12,1,0,17.8,-214.1,2.1,1935,17,1,2,1774,81,1760,81
41.1,142.4,1366,7727,339.75,101,103,102,2,9020,80,NOSAMS/IAA,-171.5411534,42.31621731,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,N. pachyderma (s.),7500,220,-999,1.031886136,27.79415118,0,0,2,76.9,2.8,6916,21,-170,50,2,27.71,13,0,0,32.7,-214.1,2.1,1935,17,1,2,2104,83,2090,83
41.1,142.4,1366,11708,153.625,231,232,231.5,2,11370,50,NOSAMS/IAA,0.822126303,24.83018596,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,N. pachyderma (s.),10600,50,-999,101.5038564,6.877499308,0,0,2,173.8,3.5,10091,24,2,36,2,27.71,14,0,0,77.3,-214.1,2.1,1935,17,1,2,1279,55,1265,55
41.1,142.4,1366,12109,145.25,262,264,263,2,11930,60,NOSAMS/IAA,-20.17817888,24.53636698,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,Mixed PF,10900,55,-999,113.865668,7.652535332,0,0,2,188.7,2.6,10378,18,-19,36,2,27.71,15,0,0,37.1,-214.1,2.1,1935,17,1,2,1552,63,1538,63
41.1,142.4,1366,12890,86.5,291,293,292,2,12600,50,NOSAMS/IAA,-9.275209788,16.53359867,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,N. pachyderma (s.),11420,60,-999,147.4884179,8.602896888,0,0,2,211.8,3.2,10982,21,-8,31,2,27.71,16,0,0,32.8,-214.1,2.1,1935,17,1,2,1618,54,1604,54
41.1,142.4,1366,13499,126.5,311,313,312,2,13650,100,NOSAMS/IAA,-64.20882015,25.97196106,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,N. pachyderma (s.),12230,50,-999,116.733487,6.972589101,0,0,2,199.5,4.8,11656,32,-63,37,2,27.71,17,0,0,27.9,-214.1,2.1,1935,17,1,2,1994,105,1980,105
41.1,142.4,1366,15361,204.25,363,365,364,2,14250,120,NOSAMS/IAA,87.82254351,43.13807102,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,Mixed PF,13450,85,-999,201.736058,12.78350626,0,0,2,289.6,6.5,12892,40,89,51,2,27.71,18,0,0,46.9,-214.1,2.1,1935,17,1,2,1358,126,1344,126
41.1,142.4,1366,16257,177.5,405,407,406,2,14830,60,NOSAMS/IAA,127.9012356,32.64612889,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,Mixed PF,14150,55,-999,227.536613,8.433483114,0,0,2,334.5,5.6,13482,34,129,42,2,27.71,19,0,0,49.7,-214.1,2.1,1935,17,1,2,1348,69,1334,69
41.1,142.4,1366,18973,216.25,540,542,541,2,17650,100,NOSAMS/IAA,102.7883334,42.58578155,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,Mixed PF,16450,110,-999,280.4679703,17.65470803,0,0,2,399.1,6.3,15745,36,104,50,2,27.71,20,0,0,49.1,-214.1,2.1,1935,17,2,2,1905,106,1891,106
41.1,142.4,1366,21050,212.75,642,644,643,2,19650,110,NOSAMS/IAA,105.291061,43.59111028,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,Mixed PF,18200,65,-999,323.9426212,10.7563026,0,0,2,443.9,8.8,17503,49,107,51,2,27.71,21,0,0,53.1,-214.1,2.1,1935,17,2,2,2147,120,2133,120
41.1,142.4,1366,24872,354.25,845,847,846,2,22900,320,NOSAMS/IAA,170.9878031,96.93557382,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,Mixed PF,21500,220,-999,393.9323186,38.70322827,0,0,2,560.6,8.6,20601,44,172,101,2,27.71,22,0,0,49.9,-214.1,2.1,1935,17,1,2,2299,323,2285,323
41.1,142.4,1366,26898,321.5,946,948,947,2,24880,220,NOSAMS/IAA,169.3349582,77.55628261,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,Mixed PF,23560,220,-999,378.1711223,38.26561077,0,0,2,584.6,12.4,22441,63,171,82,2,27.71,23,0,0,61.5,-214.1,2.1,1935,17,1,2,2439,229,2425,229
41.1,142.4,1366,29109,392.5,1082,1084,1083,2,27540,300,NOSAMS/IAA,97.18740049,93.17932909,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,Mixed PF,25700,300,-999,379.6159236,52.4972427,0,0,2,540.7,13.6,24805,71,99,97,2,27.71,24,0,0,52.2,-214.1,2.1,1935,17,1,2,2735,308,2721,308
41.1,142.4,1366,33747,577,1324,1326,1325,2,30700,320,"NOSAMS/IAA (Institute of Accelerator A-999lysis Ltd., Japan)",297.4469426,142.5258343,MR01-K03 PC4/5,Ahagon et al. (2003),3,-999,Mixed PF,30130,360,-999,392.8552045,63.84083095,0,0,2,574.1,20.9,29141,107,299,145,2,27.71,25,0,0,52.2,-214.1,2.1,1935,17,1,2,1559,337,1545,337
7.2,112.2,2030,3495,173.25,1,7,4,3,-999,-999,ETH,-999,-999,V35-6,Andree et al. (1986),3,-999,G. sacculifer,1170,70,-999,319.3194217,11.54685829,0,0,2,9.8,1.4,3322,11,-999,-999,2,28,26,0,1.1,-5.2,-200,5,1793,40,1,3,-999,-999,-999,-999
7.2,112.2,2030,3303,177,2,4,3,3,-999,-999,ETH,-999,-999,V35-6,Andree et al. (1986),3,-999,G. sacculifer,3580,80,-999,-45.07388176,9.557544715,0,0,2,21.6,2.4,3044,19,-999,-999,2,28,27,0,1.1,4.1,-200,5,1793,40,1,3,-999,-999,-999,-999
7.2,112.2,2030,4784,257.75,8,13,10.5,3,6420,100,ETH,-197.8959514,35.00435656,V35-6,Andree et al. (1986),3,-999,G. sacculifer,4860,90,-999,-25.97471307,10.97413041,0,0,2,67.8,1.9,4127,14,-211,35,2,28,28,0,1.1,8.7,-200,5,1793,40,1,3,2293,101,2422,101
7.2,112.2,2030,5935,432,18,20,19,3,7200,110,ETH,-163.3823735,55.21449453,V35-6,Andree et al. (1986),3,-999,G. sacculifer,-999,-999,-999,-999,-999,0,0,2,71.4,2.1,5218,16,-176,55,2,28,29,0,1.1,6.2,-200,5,1793,40,1,3,1982,111,2111,111
7.2,112.2,2030,6582,477,22,28,25,3,7660,130,ETH,-145.6283261,63.1805845,V35-6,Andree et al. (1986),3,-999,G. sacculifer,-999,-999,-999,-999,-999,0,0,2,81.8,2.5,5772,18,-158,63,2,28,30,0,1.1,9,-200,5,1793,40,1,3,1888,131,2017,131
7.2,112.2,2030,8246,212,37,45,41,3,9210,130,ETH,-138.4832864,36.04548781,V35-6,Andree et al. (1986),3,-999,G. sacculifer,7890,110,-999,15.37839744,13.99973257,0,0,2,73.1,2.7,7449,20,-151,36,2,28,31,0,1.1,8.1,-200,5,1793,40,1,3,1761,132,1890,132
7.2,112.2,2030,9231,225.75,45,53,49,3,9760,130,ETH,-93.69553246,39.42816137,V35-6,Andree et al. (1986),3,-999,G. sacculifer,8780,120,-999,23.89787567,15.41018977,0,0,2,98.5,3.9,8224,28,-106,39,2,28,32,0,1.1,11.7,-200,5,1793,40,1,3,1536,133,1665,133
7.2,112.2,2030,10260,228.75,57,64,60.5,3,10810,150,ETH,-99.3332917,41.75474604,V35-6,Andree et al. (1986),3,-999,G. sacculifer,9550,120,-999,53.62118505,15.85754087,0,0,2,104.3,2.8,9173,20,-112,42,2,28,33,0,1.1,13.5,-200,5,1793,40,1,3,1637,151,1766,151
7.2,112.2,2030,11077,233.25,68,72,70,3,11290,150,ETH,-63.44484072,43.92887993,V35-6,Andree et al. (1986),3,-999,G. sacculifer,10130,120,-999,82.05008939,16.28541051,0,0,2,153,3.1,9623,21,-76,44,2,28,34,0,1.1,11.3,-200,5,1793,40,1,3,1667,151,1796,151
7.2,112.2,2030,12943,222.625,89,92,90.5,3,12950,160,ETH,-45.4141841,44.7360286,V35-6,Andree et al. (1986),3,-999,G. sacculifer,11590,140,-999,130.685287,19.87842501,0,0,2,212.3,3.1,11037,21,-58,45,2,28,35,0,1.1,8.8,-200,5,1793,40,1,3,1913,161,2042,161
7.2,112.2,2030,13962,286,98,102,100,3,13550,170,ETH,2.093718466,55.90378143,V35-6,Andree et al. (1986),3,-999,G. sacculifer,12540,160,-999,136.3517232,22.8605815,0,0,2,216.2,5.5,12002,37,-11,56,2,28,36,0,1.1,8.8,-200,5,1793,40,1,3,1548,174,1677,174
7.2,112.1,1953,1493,195.5,0,10,5,4,3610,100,ETH,-235.7028946,27.5947397,V35-5,Andree et al. (1986); Broecker et al. (1988) Paleo; Broecker et al. (1988) Radiocarbon,3,-999,G. sacculifer,2055,100,-999,-72.46262332,11.6187564,0,0,2,-15.5,1.3,1583,11,-211,38,2,28.05,37,0,1.1,13.1,-234.4,5,2146,40,1,4,2027,101,1768,101
7.2,112.1,1953,6060,201,60,70,65,4,7110,120,ETH,-141.0667,33.72343495,V35-5,Andree et al. (1986); Broecker et al. (1988) Paleo; Broecker et al. (1988) Radiocarbon,3,-999,G. sacculifer,5830,110,-999,7.305256966,13.88842253,0,0,2,74.7,2.3,5310,17,-116,43,2,28.05,38,0,1.1,14.5,-234.4,5,2146,40,1,4,1800,121,1541,121
7.2,112.1,1953,7781,217.375,85,90,87.5,4,8870,160,ETH,-150.3944932,39.27606588,V35-5,Andree et al. (1986); Broecker et al. (1988) Paleo; Broecker et al. (1988) Radiocarbon,3,-999,G. sacculifer,7500,150,-999,7.592023153,18.99150172,0,0,2,78.2,2.9,6964,22,-125,47,2,28.05,39,0,1.1,7.3,-234.4,5,2146,40,1,4,1906,162,1647,162
7.2,112.1,1953,8463,226,90,100,95,4,10930,190,ETH,-286.0402205,36.42061586,V35-5,Andree et al. (1986); Broecker et al. (1988) Paleo; Broecker et al. (1988) Radiocarbon,3,-999,G. sacculifer,8190,140,-999,4.173024908,17.65423005,0,0,2,65.4,2.5,7721,19,-261,45,2,28.05,40,0,1.1,18.2,-234.4,5,2146,40,1,4,3209,191,2950,191
7.2,112.1,1953,9562.5,230.125,110,115,112.5,4,10910,180,ETH,-182.4475753,41.09451023,V35-5,Andree et al. (1986); Broecker et al. (1988) Paleo; Broecker et al. (1988) Radiocarbon,3,-999,G. sacculifer,9050,160,-999,30.5623532,20.73236145,0,0,2,77.9,2.9,8696,21,-157,49,2,28.05,41,0,1.1,14.7,-234.4,5,2146,40,1,4,2214,181,1955,181
7.2,112.1,1953,10241,265.75,120,130,125,4,11690,130,ETH,-194.6404146,38.93747795,V35-5,Andree et al. (1986); Broecker et al. (1988) Paleo; Broecker et al. (1988) Radiocarbon,3,-999,G. sacculifer,9520,150,-999,55.13558886,19.88762206,0,0,2,106.1,2.8,9150,21,-170,47,2,28.05,42,0,1.1,11.6,-234.4,5,2146,40,1,4,2540,132,2281,132
7.2,112.1,1953,12826,352.5,150,160,155,4,12620,190,ETH,-19.3599866,65.05605911,V35-5,Andree et al. (1986); Broecker et al. (1988) Paleo; Broecker et al. (1988) Radiocarbon,3,-999,G. sacculifer,11580,200,-999,116.1844269,28.13881371,0,0,2,210.9,3.3,10930,22,6,70,2,28.05,43,0,1.1,20.6,-234.4,5,2146,40,1,4,1690,191,1431,191
7.2,112.1,1953,15734,317.75,210,220,215,4,16330,250,ETH,-121.5837648,61.14978371,V35-5,Andree et al. (1986); Broecker et al. (1988) Paleo; Broecker et al. (1988) Radiocarbon,3,-999,G. sacculifer,13740,190,-999,212.6224055,29.0233545,0,0,2,309.7,7,13127,43,-97,67,2,28.05,44,0,1.1,20.1,-234.4,5,2146,40,1,4,3203,254,2944,254
7.2,112.1,1953,17225,385.375,240,255,247.5,4,17010,230,ETH,-33.36074628,72.8062919,V35-5,Andree et al. (1986); Broecker et al. (1988) Paleo; Broecker et al. (1988) Radiocarbon,3,-999,G. sacculifer,14990,420,-999,243.0062069,66.71871666,0,0,2,381.1,8.5,14149,50,-8,78,2,28.05,45,0,1.1,23.9,-234.4,5,2146,40,1,4,2861,235,2602,235
7.2,112.1,1953,18482,329.375,270,285,277.5,4,17810,350,ETH,18.70398422,85.07112951,V35-5,Andree et al. (1986); Broecker et al. (1988) Paleo; Broecker et al. (1988) Radiocarbon,3,-999,G. sacculifer & G. ruber,16170,290,-999,249.4320206,45.92992084,0,0,2,418.4,8.3,15159,47,44,89,2,28.05,46,0,1.1,28.5,-234.4,5,2146,40,1,4,2651,353,2392,353
7.2,112.1,1953,19536,365.5,300,319,309.5,4,19280,290,ETH,-36.29405794,77.48135707,V35-5,Andree et al. (1986); Broecker et al. (1988) Paleo; Broecker et al. (1988) Radiocarbon,3,-999,G. sacculifer,17540,260,-999,196.7833642,39.36936182,0,0,2,415.5,8.2,16196,46,-11,82,2,28.05,47,0,1.1,57.7,-234.4,5,2146,40,1,4,3084,294,2825,294
7.2,112.1,1953,19848,403.25,318,330,324,4,19040,460,ETH,31.12258985,109.5474051,V35-5,Andree et al. (1986); Broecker et al. (1988) Paleo; Broecker et al. (1988) Radiocarbon,3,-999,G. sacculifer,17020,390,-999,325.9256484,65.96158821,0,0,2,430.3,7.7,16413,43,56,113,2,28.05,48,0,1.1,31.3,-234.4,5,2146,40,1,4,2627,462,2368,462
7.2,112.1,1953,20232,500.25,330,350,340,4,21110,340,ETH,-165.2217842,85.9975452,V35-5,Andree et al. (1986); Broecker et al. (1988) Paleo; Broecker et al. (1988) Radiocarbon,3,-999,G. sacculifer,16200,220,-999,538.2408872,42.71002788,0,0,2,441.8,7.2,16728,40,-140,90,2,28.05,49,0,1.1,31.3,-234.4,5,2146,40,1,4,4382,342,4123,342
-41.1,7.8,4981,12105,119,120,125,122.5,5,11500,140,NOSAMS,33.20001999,32.88475351,TNO57-21,Barker et al. (2010),3,-999,G. bulloides,10900,45,-999,113.3268529,6.254238436,0,0,2,188.7,2.6,10378,18,31,33,4,28.2,50,0,0,7.4,-999,5,1320,40,1,5,1122,141,1139,141
-41.1,7.8,4981,13453,88,130,135,132.5,5,12350,75,NOSAMS,94.07058669,21.86231874,TNO57-21,Barker et al. (2010),3,-999,G. bulloides,12200,75,-999,114.6920713,10.45604343,0,0,2,204.6,4,11584,27,92,22,4,28.2,51,0,0,18.9,-999,5,1320,40,1,5,766,80,783,80
-41.1,7.8,4981,13981,79,140,145,142.5,5,13050,60,NOSAMS,68.90319433,18.19922957,TNO57-21,Barker et al. (2010),3,-999,G. bulloides,12700,55,-999,116.5050813,7.67066876,0,0,2,217,6,12016,39,67,18,4,28.2,52,0,0,25.3,-999,5,1320,40,1,5,1034,72,1051,72
-41.1,7.8,4981,14377,170,150,155,152.5,5,13700,75,NOSAMS,34.18962026,30.92705729,TNO57-21,Barker et al. (2010),3,-999,G. bulloides,12950,55,-999,135.3977321,7.80046599,0,0,2,216.7,3.4,12397,23,32,31,4,28.2,53,0,0,23.4,-999,5,1320,40,1,5,1303,78,1320,78
-41.1,7.8,4981,14805,205,160,165,162.5,5,13700,170,NOSAMS,89.14202188,50.07469119,TNO57-21,Barker et al. (2010),3,-999,G. bulloides,13150,70,-999,166.3250488,10.20783127,0,0,2,276.1,7.3,12432,46,87,50,4,28.2,54,0,0,8.3,-999,5,1320,40,1,5,1268,176,1285,176
-41.1,7.8,4981,17221,121,180,185,182.5,5,15750,65,NOSAMS,130.250421,25.69068867,TNO57-21,Barker et al. (2010),3,-999,G. bulloides,14750,65,-999,280.0840155,10.39997565,0,0,2,381.1,8.5,14149,50,128,26,4,28.2,55,0,0,80.6,-999,5,1320,40,1,5,1601,82,1618,82
-41.1,7.8,4981,17345,110,190,195,192.5,5,15900,70,NOSAMS,126.1059742,24.79882329,TNO57-21,Barker et al. (2010),3,-999,G. bulloides,14850,60,-999,283.3533524,9.621497166,0,0,2,384.6,11.9,14245,69,124,25,4,28.2,56,0,0,10.7,-999,5,1320,40,1,5,1655,98,1672,98
-41.1,7.8,4981,18276,121,200,205,202.5,5,16700,90,NOSAMS,140.8719895,29.48374508,TNO57-21,Barker et al. (2010),3,-999,G. bulloides,15650,80,-999,300.1812671,13.01309113,0,0,2,396.8,11.2,15078,64,139,29,4,28.2,57,0,0,23.1,-999,5,1320,40,1,5,1622,110,1639,110
-41.1,7.8,4981,18709,72,210,215,212.5,5,17050,90,NOSAMS,150.9636186,22.9207806,TNO57-21,Barker et al. (2010),3,-999,G. bulloides,16050,65,-999,303.5430939,10.5905677,0,0,2,419.1,6.5,15369,37,149,23,4,28.2,58,0,0,20.5,-999,5,1320,40,2,5,1681,97,1698,97
-41.1,7.8,4981,19686,123,230,235,232.5,5,18100,110,NOSAMS,136.6319065,32.48020492,TNO57-21,Barker et al. (2010),3,-999,G. bulloides,16900,80,-999,319.7643702,13.20909203,0,0,2,408.9,8,16379,45,135,32,4,28.2,59,0,0,17.5,-999,5,1320,40,2,5,1721,119,1738,119
-41.1,7.8,4981,20259,115,240,245,242.5,5,18250,80,NOSAMS,195.6717588,28.5429753,TNO57-21,Barker et al. (2010),3,-999,G. bulloides,17400,70,-999,329.126139,11.63268797,0,0,2,442.4,7.3,16744,41,194,29,4,28.2,60,0,0,13.5,-999,5,1320,40,2,5,1506,90,1523,90
-41.1,7.8,4981,20999,144,250,255,252.5,5,18700,130,NOSAMS,236.3973234,41.55311349,TNO57-21,Barker et al. (2010),3,-999,G. bulloides,18000,85,-999,348.9713131,14.34972606,0,0,2,442.5,8.3,17462,46,235,42,4,28.2,61,0,0,25.5,-999,5,1320,40,2,5,1238,138,1255,138
-41.1,7.8,4981,22569,113,290,295,292.5,5,20800,120,NOSAMS,151.0698656,32.93335765,TNO57-21,Barker et al. (2010),3,-999,G. bulloides,19300,90,-999,387.386231,15.63137798,0,0,2,489,10.3,18733,55,149,33,4,28.2,62,0,0,25.5,-999,5,1320,40,2,5,2067,132,2084,132
-3.749167,-81.134167,373,1111,109,30,30,30,6,1960,20,OS-98324   ,-103.8108509,14.04805524,KNR195-5 CDH23,Bova et al. 2018,3,-999,Neogloboquadrina dutertrei,1680,40,-999,-72.02229035,4.632351366,0,0,2,-13.4,1.8,1196,15,-234,30,2,26.88,63,0,0,65.9,-82.7,5,693,40,1,6,764,25,1992,25
-3.749167,-81.134167,373,3083,120.75,160,160,160,6,3330,25,OS-98322   ,-40.75763714,16.99715626,KNR195-5 CDH23,Bova et al. 2018,3,-999,Neogloboquadrina dutertrei,3420,35,-999,-51.44480162,4.141897487,0,0,2,5.4,1.9,2959,15,-171,32,2,26.88,64,0,0,136.6,-82.7,5,693,40,1,6,371,29,1599,29
-3.749167,-81.134167,373,3818.5,111.25,260.5,260.5,260.5,6,4290,25,OS-98323   ,-69.6090066,15.4166152,KNR195-5 CDH23,Bova et al. 2018,3,-999,Neogloboquadrina dutertrei,3980,35,-999,-33.00267061,4.222425659,0,0,2,28.7,2.2,3484,17,-200,31,2,26.88,65,0,0,125,-82.7,5,693,40,1,6,806,30,2034,30
-3.749167,-81.134167,373,4538.5,84.375,350.5,350.5,350.5,6,4660,25,OS-98325   ,-30.63794422,12.91073717,KNR195-5 CDH23,Bova et al. 2018,3,-999,Neogloboquadrina dutertrei,4540,40,-999,-16.04854659,4.911765457,0,0,2,40.9,2,4090,15,-161,30,2,26.88,66,0,0,125,-82.7,5,693,40,1,6,570,29,1798,29
-3.749167,-81.134167,373,4538.5,84.375,350.5,350.5,350.5,6,4730,20,OS-98329   ,-39.04832057,12.20054294,KNR195-5 CDH23,Bova et al. 2018,3,-999,Neogloboquadrina dutertrei,4540,40,-999,-16.04854659,4.911765457,0,0,2,40.9,2,4090,15,-169,29,2,26.88,67,0,0,106.5,-82.7,5,693,40,1,6,640,25,1868,25
-3.749167,-81.134167,373,5942,108.5,500,500,500,6,6370,50,OS-102576  ,-71.53038311,17.96588965,KNR195-5 CDH23,Bova et al. 2018,3,-999,Neogloboquadrina dutertrei,5720,30,-999,6.72108487,3.766724542,0,0,2,69.5,2.4,5242,18,-202,32,2,26.88,68,0,0,103.1,-82.7,5,693,40,1,6,1128,53,2356,53
-3.749167,-81.134167,373,6427,89.25,550,550,550,6,6380,50,OS-102573  ,-16.65523918,16.73759189,KNR195-5 CDH23,Bova et al. 2018,3,-999,Neogloboquadrina dutertrei,6230,35,-999,1.879240333,4.374738671,0,0,2,78.4,2.7,5642,20,-147,32,2,26.88,69,0,0,138.9,-82.7,5,693,40,1,6,738,54,1966,54
-3.749167,-81.134167,373,6787,107.5,600,600,600,6,6850,25,OS-102720  ,-31.25854388,15.61259365,KNR195-5 CDH23,Bova et al. 2018,3,-999,Neogloboquadrina dutertrei,6510,45,-999,10.62392723,5.677293235,0,0,2,81.6,2.6,5968,19,-161,31,2,26.88,70,0,0,131.9,-82.7,5,693,40,1,6,882,31,2110,31
-3.749167,-81.134167,373,9061,127.25,900,900,900,6,8990,30,OS-98333   ,-22.82454703,18.69169112,KNR195-5 CDH23,Bova et al. 2018,3,-999,Neogloboquadrina dutertrei,8600,45,-999,25.787564,5.762476665,0,0,2,87,2.9,8143,22,-153,33,2,26.88,71,0,0,129.9,-82.7,5,693,40,1,6,847,37,2075,37
-3.749167,-81.134167,373,9832.5,134.625,1000.25,1000.25,1000.25,6,9510,30,OS-98332   ,5.515970995,20.13099044,KNR195-5 CDH23,Bova et al. 2018,3,-999,Neogloboquadrina dutertrei,9220,60,-999,42.47938172,7.815628017,0,0,2,98.6,2.7,8806,20,-125,33,2,26.88,72,0,0,107.7,-82.7,5,693,40,1,6,704,36,1932,36
-3.749167,-81.134167,373,10759,133.25,1100,1100,1100,6,10150,35,OS-98330   ,38.62897685,21.26775592,KNR195-5 CDH23,Bova et al. 2018,3,-999,Neogloboquadrina dutertrei,9920,40,-999,68.7967098,5.335302613,0,0,2,123,3.7,9523,26,-91,34,2,26.88,73,0,0,107.3,-82.7,5,693,40,1,6,627,44,1855,44
-3.749167,-81.134167,373,11970,169.5,1230,1230,1230,6,10950,45,OS-102354  ,88.4975884,28.41856341,KNR195-5 CDH23,Bova et al. 2018,3,-999,Neogloboquadrina dutertrei,10750,45,-999,115.9384218,6.268909218,0,0,2,182.4,2.6,10285,18,-42,39,2,26.88,74,0,0,114.6,-82.7,5,693,40,1,6,665,48,1893,48
