Longitude	Latitude	Potential Vorticity Q [10~^-~^1~^2 m~^-~^1 s~^-~^1] @ Depth [m]=500
-144.500000	-74.500000	43.17012
-143.500000	-74.500000	34.23302
-141.500000	-74.500000	45.01440
-140.500000	-74.500000	44.45451
-138.500000	-74.500000	88.68298
-59.500000	-74.500000	35.27179
-58.500000	-74.500000	28.12416
-57.500000	-74.500000	26.79017
-56.500000	-74.500000	31.24130
-55.500000	-74.500000	37.49831
-48.500000	-74.500000	57.56468
-47.500000	-74.500000	31.67547
-46.500000	-74.500000	30.29274
-45.500000	-74.500000	30.64835
-44.500000	-74.500000	34.43564
-43.500000	-74.500000	35.74400
-42.500000	-74.500000	36.49101
-41.500000	-74.500000	17.16896
-40.500000	-74.500000	17.33018
-37.500000	-74.500000	8.60197
-34.500000	-74.500000	20.11493
-33.500000	-74.500000	19.38943
-32.500000	-74.500000	18.47853
-31.500000	-74.500000	20.34065
-30.500000	-74.500000	6.93374
-28.500000	-74.500000	11.72347
-27.500000	-74.500000	13.44154
-26.500000	-74.500000	12.60310
-25.500000	-74.500000	31.34740
170.500000	-73.500000	65.81207
171.500000	-73.500000	62.31419
172.500000	-73.500000	44.64609
-184.500000	-73.500000	13.32168
-183.500000	-73.500000	12.99445
-182.500000	-73.500000	7.79980
-178.500000	-73.500000	5.33775
-177.500000	-73.500000	7.16593
-176.500000	-73.500000	2.88586
-175.500000	-73.500000	1.79101
-174.500000	-73.500000	2.48826
-173.500000	-73.500000	0.48846
-172.500000	-73.500000	0.03843
-171.500000	-73.500000	0.00000
-170.500000	-73.500000	0.13387
-169.500000	-73.500000	0.28724
-168.500000	-73.500000	2.01084
-167.500000	-73.500000	1.70902
-166.500000	-73.500000	0.47768
-165.500000	-73.500000	7.13353
-164.500000	-73.500000	11.33035
-163.500000	-73.500000	15.15865
-162.500000	-73.500000	13.40679
-161.500000	-73.500000	13.18987
-160.500000	-73.500000	15.69648
-159.500000	-73.500000	16.56955
-158.500000	-73.500000	20.22286
-157.500000	-73.500000	24.80697
-156.500000	-73.500000	29.09005
-155.500000	-73.500000	29.85532
-154.500000	-73.500000	21.42462
-153.500000	-73.500000	13.00118
-152.500000	-73.500000	8.49543
-151.500000	-73.500000	7.15127
-150.500000	-73.500000	6.85949
-149.500000	-73.500000	9.77931
-148.500000	-73.500000	13.08434
-147.500000	-73.500000	17.46021
-146.500000	-73.500000	26.37883
-145.500000	-73.500000	30.87505
-144.500000	-73.500000	31.84662
-143.500000	-73.500000	33.01170
-142.500000	-73.500000	30.83936
-141.500000	-73.500000	36.19351
-140.500000	-73.500000	34.78689
-139.500000	-73.500000	29.69161
-138.500000	-73.500000	30.60008
-137.500000	-73.500000	28.50963
-136.500000	-73.500000	26.89863
-135.500000	-73.500000	34.84690
-134.500000	-73.500000	36.55294
-133.500000	-73.500000	37.35464
-132.500000	-73.500000	35.38743
-131.500000	-73.500000	38.40367
-130.500000	-73.500000	45.51783
-129.500000	-73.500000	43.40759
-128.500000	-73.500000	47.11428
-117.500000	-73.500000	72.53108
-116.500000	-73.500000	67.99150
-115.500000	-73.500000	60.51463
-114.500000	-73.500000	51.29219
-113.500000	-73.500000	41.30601
-112.500000	-73.500000	36.03171
-111.500000	-73.500000	27.01963
-110.500000	-73.500000	16.29274
-109.500000	-73.500000	11.87701
-108.500000	-73.500000	25.70489
-59.500000	-73.500000	98.95679
-58.500000	-73.500000	117.91049
-57.500000	-73.500000	152.97717
-56.500000	-73.500000	21.60075
-55.500000	-73.500000	31.66706
-54.500000	-73.500000	58.30806
-53.500000	-73.500000	78.22832
-45.500000	-73.500000	0.98042
-44.500000	-73.500000	6.36116
-43.500000	-73.500000	0.80756
-42.500000	-73.500000	12.79386
-41.500000	-73.500000	0.27106
-40.500000	-73.500000	1.05532
-39.500000	-73.500000	0.04259
-38.500000	-73.500000	0.08663
-37.500000	-73.500000	1.12463
-36.500000	-73.500000	0.57076
-35.500000	-73.500000	0.39513
-34.500000	-73.500000	1.67887
-33.500000	-73.500000	0.18131
-32.500000	-73.500000	0.25729
-31.500000	-73.500000	0.43860
-30.500000	-73.500000	0.02276
-29.500000	-73.500000	1.12271
-28.500000	-73.500000	7.05547
-27.500000	-73.500000	4.49023
-26.500000	-73.500000	8.11744
-25.500000	-73.500000	13.63231
-24.500000	-73.500000	1.18994
-23.500000	-73.500000	1.63735
-22.500000	-73.500000	1.35700
172.500000	-72.500000	46.17115
173.500000	-72.500000	14.91574
-184.500000	-72.500000	16.20790
-183.500000	-72.500000	4.09852
-182.500000	-72.500000	0.15090
-181.500000	-72.500000	3.30977
-180.500000	-72.500000	16.28887
-179.500000	-72.500000	15.94536
-178.500000	-72.500000	14.29550
-177.500000	-72.500000	10.43039
-176.500000	-72.500000	14.99278
-175.500000	-72.500000	9.36299
-174.500000	-72.500000	6.93938
-173.500000	-72.500000	5.56826
-172.500000	-72.500000	2.87375
-171.500000	-72.500000	2.02916
-170.500000	-72.500000	4.39515
-169.500000	-72.500000	1.96101
-168.500000	-72.500000	2.08825
-167.500000	-72.500000	3.82432
-166.500000	-72.500000	5.65025
-165.500000	-72.500000	8.05728
-164.500000	-72.500000	10.68858
-163.500000	-72.500000	12.49407
-162.500000	-72.500000	13.30461
-161.500000	-72.500000	14.52581
-160.500000	-72.500000	12.13853
-159.500000	-72.500000	13.29268
-158.500000	-72.500000	15.76319
-157.500000	-72.500000	17.58048
-156.500000	-72.500000	19.04365
-155.500000	-72.500000	17.17727
-154.500000	-72.500000	16.18573
-153.500000	-72.500000	12.33993
-152.500000	-72.500000	8.80048
-151.500000	-72.500000	7.71463
-150.500000	-72.500000	7.12609
-149.500000	-72.500000	10.00800
-148.500000	-72.500000	12.45657
-147.500000	-72.500000	16.97773
-146.500000	-72.500000	21.27338
-145.500000	-72.500000	24.30563
-144.500000	-72.500000	26.83626
-143.500000	-72.500000	26.82410
-142.500000	-72.500000	27.84208
-141.500000	-72.500000	28.62973
-140.500000	-72.500000	27.16202
-139.500000	-72.500000	25.33971
-138.500000	-72.500000	25.29263
-137.500000	-72.500000	23.98896
-136.500000	-72.500000	27.85579
-135.500000	-72.500000	26.23592
-134.500000	-72.500000	27.60752
