,500m<x<1000m,500m<x<1000m & east of 140W
cal.age,D14C.Shallow.Pacific.North,D14C.Shallow.Pacific.North.East
8170,-43.12460096,-25.06551821
8180,-43.23102396,-25.20615112
8190,-43.16763943,-25.1383399
8200,-42.98200494,-24.91954245
8210,-42.75318809,-24.64030291
8220,-42.48014862,-24.30294592
8230,-42.14650696,-23.89659429
8240,-41.81803031,-23.50217721
8250,-41.54807349,-23.18486018
8260,-41.33910674,-22.95037946
8270,-41.25798676,-22.87035358
8280,-41.29637614,-22.9299537
8290,-41.33750198,-23.00049887
8300,-41.39334762,-23.09757164
8310,-41.51303892,-23.27392693
8320,-41.67228334,-23.49861227
8330,-41.81997875,-23.71383254
8340,-41.96127129,-23.92593453
8350,-42.07195976,-24.10906481
8360,-42.18459143,-24.29721516
8370,-42.32579207,-24.5137742
8380,-42.41791821,-24.67041347
8390,-42.42846042,-24.73235076
8400,-42.40573112,-24.75084199
8410,-42.37427944,-24.74776349
8420,-42.26449161,-24.64638169
8430,-42.03747582,-24.40864669
8440,-41.77552843,-24.12933474
8450,-41.54577196,-23.88092104
8460,-41.26905322,-23.57716965
8470,-40.94625914,-23.22483106
8480,-40.64187345,-22.90104937
8490,-40.3505855,-22.60399948
8500,-40.11085623,-22.37690081
8510,-39.98778977,-22.28754237
8520,-39.88465814,-22.2243021
8530,-39.7713355,-22.15062223
8540,-39.70430516,-22.12312839
8550,-39.54836182,-21.99488567
8560,-39.27362602,-21.74515883
8570,-39.03003149,-21.54275675
8580,-38.90903055,-21.47627903
8590,-38.8482449,-21.46212706
8600,-38.64652835,-21.27919626
8610,-38.25491434,-20.88635801
8620,-37.85878279,-20.49284558
8630,-37.57184704,-20.21346389
8640,-37.2764868,-19.90876863
8650,-36.84478664,-19.44231548
8660,-36.28580404,-18.83701708
8670,-35.72055478,-18.23404125
8680,-35.25716582,-17.75008359
8690,-34.86305871,-17.34393658
8700,-34.45229394,-16.91861353
8710,-34.03864295,-16.48896512
8720,-33.64899692,-16.08337503
8730,-33.20675723,-15.61977751
8740,-32.7507073,-15.14558206
8750,-32.3524081,-14.73746973
8760,-31.99603658,-14.37048024
8770,-31.66931957,-14.02322969
8780,-31.28385342,-13.59625441
8790,-30.79288624,-13.04238933
8800,-30.27275448,-12.4497218
8810,-29.76371703,-11.86603919
8820,-29.21447739,-11.24278533
8830,-28.68435148,-10.65284971
8840,-28.31254259,-10.2437555
8850,-28.06356246,-9.963582589
8860,-27.81138801,-9.669971677
8870,-27.46301238,-9.267061542
8880,-27.09097108,-8.840776687
8890,-26.83251987,-8.541097544
8900,-26.57928309,-8.250633943
8910,-26.26199478,-7.903961392
8920,-26.04381395,-7.685950493
8930,-25.96778965,-7.640354312
8940,-25.93124948,-7.654453934
8950,-25.90953372,-7.705701024
8960,-25.96323723,-7.861130548
8970,-26.14083738,-8.163904022
8980,-26.38312119,-8.533743451
8990,-26.58550099,-8.84470014
9000,-26.65939381,-8.994832152
9010,-26.60097838,-8.977905816
9020,-26.4474792,-8.833273788
9030,-26.13760244,-8.499853689
9040,-25.64548165,-7.965549551
9050,-25.11678593,-7.40547422
9060,-24.71493507,-6.999913197
9070,-24.43516415,-6.733727418
9080,-24.21150357,-6.525569838
9090,-23.94668705,-6.268070881
9100,-23.60339009,-5.925742367
9110,-23.28860411,-5.616087752
9120,-23.06588277,-5.398517955
9130,-22.827581,-5.144961436
9140,-22.48282822,-4.754445366
9150,-22.02988025,-4.232521882
9160,-21.48397787,-3.609346974
9170,-20.93575368,-2.995463486
9180,-20.50612758,-2.523741474
9190,-20.22765206,-2.221250009
9200,-19.98405139,-1.954683788
9210,-19.69282392,-1.637299819
9220,-19.40267075,-1.329034115
9230,-19.16589373,-1.089949795
9240,-19.00047871,-0.93819596
9250,-18.90550958,-0.867534043
9260,-18.85832857,-0.845796837
9270,-18.81681794,-0.820406039
9280,-18.73140375,-0.734306631
9290,-18.58755001,-0.571947513
9300,-18.40852108,-0.35986705
9310,-18.21488055,-0.118918094
9320,-17.99926535,0.158909056
9330,-17.72124618,0.511873961
9340,-17.3928532,0.914885177
9350,-17.1071069,1.256650123
9360,-16.92914282,1.461852055
9370,-16.87802534,1.509358831
9380,-16.91251198,1.447110082
9390,-17.05826078,1.251993706
9400,-17.29813304,0.951209508
9410,-17.50123941,0.692099952
9420,-17.67599858,0.463533931
9430,-17.82735584,0.257196188
9440,-17.93784071,0.087655913
9450,-18.06797551,-0.113887128
9460,-18.24284611,-0.371975239
9470,-18.4305437,-0.64656435
9480,-18.5851959,-0.885933977
9490,-18.66045643,-1.046316629
9500,-18.66174526,-1.145310398
9510,-18.71247243,-1.320347989
9520,-18.94702288,-1.70051379
9530,-19.2652212,-2.147188519
9540,-19.41335168,-2.366239465
9550,-19.25111927,-2.210425803
9560,-18.80727652,-1.731149806
9570,-18.24867306,-1.12844066
9580,-17.74354338,-0.590384931
9590,-17.3161043,-0.13869718
9600,-16.89738785,0.305491665
9610,-16.43654835,0.796353777
9620,-15.97272032,1.286854271
9630,-15.52394555,1.75454195
9640,-15.07471063,2.214236158
9650,-14.69038214,2.594714624
9660,-14.35564892,2.917196755
9670,-14.0210578,3.240048826
9680,-13.70392612,3.548760218
9690,-13.3593278,3.89598247
9700,-12.93879249,4.333142324
9710,-12.47018492,4.825716208
9720,-11.98838771,5.333059784
9730,-11.50756104,5.838672195
9740,-11.03453765,6.335044042
9750,-10.57393672,6.818359348
9760,-10.12814272,7.288561398
9770,-9.682219749,7.764364143
9780,-9.209918751,8.274340882
9790,-8.707740177,8.819906549
9800,-8.200529887,9.37198866
9810,-7.706973216,9.909458757
9820,-7.215051764,10.44327045
9830,-6.709827607,10.98483837
9840,-6.222020227,11.49513405
9850,-5.800366982,11.91786913
9860,-5.443516519,12.25489538
9870,-5.158833919,12.50255579
9880,-4.965428562,12.65049394
9890,-4.793413836,12.78747478
9900,-4.541271574,13.03051298
9910,-4.166550178,13.42378101
9920,-3.686643601,13.94084695
9930,-3.159997965,14.5105761
9940,-2.655650879,15.05739857
9950,-2.220584711,15.53867516
9960,-1.807299676,16.01426721
9970,-1.267030057,16.64120178
9980,-0.608033219,17.3949009
9990,-0.039195096,18.04187094
10000,0.355051549,18.49845414
10010,0.707239172,18.91653734
10020,1.120967797,19.4085721
10030,1.496895198,19.86527174
10040,1.809595548,20.26024858
10050,2.205911216,20.74610878
10060,2.634839925,21.25238822
10070,2.906883253,21.56617383
10080,3.019883399,21.68849525
10090,3.061798905,21.71881472
10100,3.008786981,21.63504506
10110,2.869515395,21.45284932
10120,2.754365264,21.29343393
10130,2.685741941,21.17600073
10140,2.580591199,21.00655386
10150,2.418593861,20.76464725
10160,2.259580064,20.51776866
10170,2.086755558,20.24956466
10180,1.900483156,19.9652101
10190,1.764063707,19.73521425
10200,1.695591827,19.57615045
10210,1.668256881,19.45670607
10220,1.600812832,19.29493254
10230,1.514346811,19.12842068
10240,1.522592568,19.09060781
10250,1.724584629,19.28657423
10260,2.105742847,19.68867173
10270,2.528220396,20.13839934
10280,2.92373538,20.56311293
10290,3.312569573,20.98944163
10300,3.746940745,21.47233297
10310,4.256797893,22.03683356
10320,4.762232286,22.59049873
10330,5.153326141,23.01563814
10340,5.518094026,23.41213374
10350,5.932739998,23.8605133
10360,6.293624117,24.24644354
10370,6.59509331,24.56749725
10380,6.914682121,24.90938438
10390,7.246647172,25.26449241
10400,7.536945221,25.57501389
10410,7.806386282,25.86762461
10420,8.101178699,26.19572318
10430,8.410377175,26.54746909
10440,8.77360243,26.95965104
10450,9.221265916,27.45078222
10460,9.626148838,27.8705429
10470,9.828939743,28.04984059
10480,9.866181414,28.04546315
10490,9.896314882,28.04401839
10500,10.00586711,28.1437165
10510,10.22349519,28.37100846
10520,10.54222601,28.70750902
10530,10.89570034,29.07017568
10540,11.17590413,29.3381942
10550,11.3423898,29.47513197
10560,11.45372475,29.55722023
10570,11.57265557,29.66241028
10580,11.77683356,29.87941757
10590,12.11256451,30.25469048
10600,12.53530838,30.72976079
10610,13.0218222,31.26656377
10620,13.49858503,31.77397845
10630,13.84821026,32.12454576
10640,14.04538709,32.30160085
10650,14.20571096,32.44068267
10660,14.4547824,32.67757161
10670,14.74929814,32.95871196
10680,15.00463107,33.19217951
10690,15.23073718,33.39401348
10700,15.4913526,33.63584366
10710,15.80513938,33.93576083
10720,16.14423476,34.26120479
10730,16.48903244,34.5904993
10740,16.83807507,34.92327717
10750,17.19676403,35.26733092
10760,17.57061483,35.631085
10770,17.96853742,36.02689878
10780,18.40176847,36.46916169
10790,18.8829184,36.97237953
10800,19.41620873,37.54042147
10810,19.99201064,38.16129351
10820,20.60227549,38.82363944
10830,21.24416872,39.51905473
10840,21.89148013,40.21357642
10850,22.48112242,40.84003296
10860,22.96199914,41.353033
10870,23.4092278,41.84702522
10880,23.95681841,42.47232136
10890,24.59879776,43.21843014
10900,25.28413539,44.0246102
10910,26.00030877,44.87273219
10920,26.71291881,45.7207004
10930,27.3777535,46.51711132
10940,28.01424285,47.27990041
10950,28.61073542,47.98938132
10960,29.12674722,48.59468322
10970,29.53554395,49.06465848
10980,29.76174325,49.32518541
10990,29.84045738,49.43046347
11000,29.92800465,49.55900173
11010,30.13378275,49.82321108
11020,30.41829241,50.16412848
11030,30.647428,50.42290073
11040,30.72432177,50.49423105
11050,30.63938745,50.38043571
11060,30.43388041,50.14261006
11070,30.27758406,49.97410692
11080,30.27975999,49.98850156
11090,30.32591623,50.05269038
11100,30.34954144,50.09156338
11110,30.39376902,50.14833842
11120,30.45331203,50.21028643
11130,30.46120097,50.1997875
11140,30.39136604,50.08796535
11150,30.27100188,49.90658721
11160,30.10237369,49.66131175
11170,29.88431568,49.35646316
11180,29.68344488,49.07093867
11190,29.52455824,48.83473192
11200,29.42594982,48.66761749
11210,29.42514005,48.60657837
11220,29.46353999,48.58549329
11230,29.47630665,48.53867957
11240,29.49832497,48.51245498
11250,29.62832417,48.61907843
11260,29.85716624,48.84799207
11270,30.17058298,49.18046161
11280,30.59663389,49.63994687
11290,31.06964966,50.14676712
11300,31.50817639,50.61009909
11310,31.90094885,51.02099823
11320,32.28877388,51.42692209
11330,32.70592719,51.86639859
11340,33.12981013,52.31586799
11350,33.57279226,52.78782678
11360,34.08678274,53.33125349
11370,34.62123641,53.88357152
11380,35.02356475,54.28567058
11390,35.28158038,54.5450716
11400,35.62636372,54.92608
11410,36.20960672,55.58524194
11420,36.92893502,56.3937555
11430,37.61635635,57.15881477
11440,38.23784314,57.84296816
11450,38.79936203,58.45582067
11460,39.29561999,58.99584746
11470,39.77964627,59.52382813
11480,40.27452196,60.06703028
11490,40.74429069,60.59128647
11500,41.20903918,61.12285807
11510,41.77214387,61.7708857
11520,42.42554368,62.51614608
11530,43.02152379,63.19120468
11540,43.53776161,63.77334454
11550,44.03414044,64.32878082
11560,44.4898212,64.83296511
11570,44.9154471,65.29580242
11580,45.30712637,65.71246854
11590,45.60818593,66.02682753
11600,45.84728111,66.28061002
11610,46.12301594,66.58587444
11620,46.48889722,66.99752854
11630,46.89897401,67.46290328
11640,47.28486629,67.90767129
11650,47.70039085,68.38638756
11660,48.21386235,68.96154007
11670,48.66351383,69.44923369
11680,48.91319785,69.7096125
11690,49.10381793,69.90838035
11700,49.366742,70.18841365
11710,49.67023274,70.50908356
11720,49.94980403,70.79812185
11730,50.17886705,71.03065302
11740,50.38042512,71.23883467
11750,50.61770707,71.49485966
11760,50.93840508,71.84594399
11770,51.33013941,72.26826207
11780,51.7140604,72.66717638
11790,52.00093742,72.94649513
11800,52.16776914,73.09263708
11810,52.29303446,73.20412225
11820,52.4949988,73.41548757
11830,52.82750532,73.78048348
11840,53.25052297,74.24529591
11850,53.68472495,74.71606354
11860,54.07224289,75.12958022
11870,54.40183779,75.47786087
11880,54.71871831,75.81262905
11890,55.09959712,76.21284666
11900,55.50264243,76.62370445
11910,55.83105536,76.93798127
11920,56.05982807,77.13768181
11930,56.21933093,77.26819028
11940,56.44046146,77.4777944
11950,56.81444738,77.86131797
11960,57.23573255,78.29600871
11970,57.63447279,78.70424574
11980,58.06435967,79.14606164
11990,58.47242499,79.56522623
12000,58.87301606,79.97971579
12010,59.35546625,80.48358886
12020,59.85671619,81.00279025
12030,60.30505848,81.46071401
12040,60.7208179,81.88443524
12050,61.16255877,82.34016897
12060,61.65638468,82.85307205
12070,62.15907796,83.37119261
12080,62.65362525,83.87749009
12090,63.08873595,84.32181846
12100,63.50253153,84.75108444
12110,64.05782608,85.3381765
12120,64.65638658,85.96641093
12130,65.17662787,86.50206055
12140,65.66127846,86.99432922
12150,66.14622622,87.48459263
12160,66.59368834,87.93394456
12170,67.01296626,88.35767027
12180,67.48826013,88.85189337
12190,67.96005755,89.35466171
12200,68.4805543,89.92384861
12210,69.14249111,90.65023849
12220,69.82979621,91.39359024
12230,70.42499302,92.02320516
12240,70.87954958,92.49365067
12250,71.24275682,92.87088536
12260,71.63118962,93.29068217
12270,72.06343655,93.77452259
12280,72.58723405,94.36819961
12290,73.20254684,95.0569568
12300,73.75463616,95.66400975
12310,74.13544643,96.08135207
12320,74.3669627,96.34985057
12330,74.66789079,96.71192907
12340,75.15993671,97.28472677
12350,75.63682774,97.8278629
12360,75.92871156,98.15772103
12370,76.11707906,98.37003201
12380,76.30238606,98.57161089
12390,76.48733726,98.75558385
12400,76.58741665,98.82392316
12410,76.52668692,98.69847344
12420,76.34547322,98.43256278
12430,76.15115891,98.14833188
12440,75.98318768,97.88875456
12450,75.78313407,97.59357806
12460,75.53908017,97.26064572
12470,75.30633794,96.96387847
12480,75.16878419,96.80414558
12490,75.18500487,96.84617173
12500,75.37564423,97.1051523
12510,75.69723474,97.52004737
12520,76.06765998,97.98473994
12530,76.41867389,98.40931316
12540,76.64284541,98.66786363
12550,76.64675785,98.6597193
12560,76.472377,98.43853461
12570,76.20335437,98.10286697
12580,75.84553624,97.66426585
12590,75.45353215,97.18874472
12600,75.06118217,96.72028661
12610,74.65887073,96.25481012
12620,74.35967147,95.91380954
12630,74.2280518,95.75228844
12640,74.11442069,95.59103868
12650,73.87863097,95.27346154
12660,73.51930106,94.80339756
12670,73.09086102,94.24600445
12680,72.65538405,93.67138645
12690,72.24760095,93.11560838
12700,71.83053686,92.53811742
12710,71.38640857,91.92578358
12720,70.92086884,91.2948139
12730,70.50535895,90.73358167
12740,70.21901163,90.33522905
12750,70.05024844,90.08997141
12760,70.04393807,90.04411612
12770,70.23162001,90.22099334
12780,70.50516936,90.48961285
12790,70.76141972,90.73054985
12800,70.97231366,90.91181067
12810,71.10753404,91.00476673
12820,71.17217391,91.02519707
12830,71.22878513,91.05098283
12840,71.38209707,91.1962218
12850,71.67780959,91.49899103
12860,72.01135812,91.83333792
12870,72.23173853,92.0346711
12880,72.34018478,92.11455377
12890,72.43773004,92.19152235
12900,72.5751271,92.3234146
12910,72.75988061,92.51841845
12920,72.97613318,92.75713217
12930,73.22995645,93.04200227
12940,73.51142833,93.35676372
12950,73.7424325,93.61396224
12960,73.90701945,93.79770925
12970,74.05424959,93.96172274
12980,74.18004079,94.10036952
12990,74.25760628,94.18466307
13000,74.30974357,94.2384114
13010,74.37256563,94.29543518
13020,74.42086558,94.32024827
13030,74.38260924,94.22967958
13040,74.24478964,94.01008313
13050,74.01958124,93.67813193
13060,73.71549602,93.24847425
13070,73.36326394,92.76411287
13080,73.003972,92.28096639
13090,72.67730052,91.85094696
13100,72.5035177,91.60785194
13110,72.49110964,91.55387555
13120,72.55999459,91.59076395
13130,72.71867942,91.71590118
13140,72.83665352,91.78154055
13150,72.78397409,91.65704852
13160,72.65267261,91.46151064
13170,72.62003669,91.39728114
13180,72.752408,91.53132632
13190,73.02282831,91.82047155
13200,73.34315635,92.15475133
13210,73.59299571,92.39809014
13220,73.7078903,92.4872344
13230,73.73693033,92.4871175
13240,73.80529634,92.53849168
13250,73.97329816,92.69969097
13260,74.19071157,92.90373829
13270,74.36293459,93.04050007
13280,74.41029267,93.02704228
13290,74.33761925,92.88170647
13300,74.24176486,92.72289826
13310,74.22728233,92.66890133
13320,74.33317226,92.75867531
13330,74.50812951,92.9316804
13340,74.69078593,93.11991528
13350,74.89588833,93.33920358
13360,75.14945398,93.61310033
13370,75.42734784,93.90769039
13380,75.67558408,94.15875658
13390,75.84503965,94.31274748
13400,75.93882754,94.37664154
13410,76.00629414,94.40640274
13420,76.07551223,94.43132115
13430,76.12888222,94.43126725
13440,76.14512308,94.38611176
13450,76.13498722,94.31187004
13460,76.14744418,94.26433471
13470,76.21314253,94.27657768
13480,76.28234182,94.29600652
13490,76.33857137,94.31160055
13500,76.43496207,94.38921569
13510,76.62157638,94.58696035
13520,76.94380232,94.94835809
13530,77.42520911,95.48037854
13540,77.97514444,96.06070436
13550,78.38688089,96.4534228
13560,78.52828078,96.52556999
13570,78.46282637,96.36871228
13580,78.39049481,96.22004566
13590,78.41303915,96.20133571
13600,78.54872745,96.33664117
13610,78.88126945,96.71012413
13620,79.41344254,97.30703338
13630,79.96158494,97.91396368
13640,80.36810057,98.36230276
13650,80.68881129,98.72284736
13660,81.0421735,99.12667138
13670,81.46177544,99.60381042
13680,81.88419322,100.0769071
13690,82.25764645,100.482967
13700,82.5923109,100.8265077
13710,82.84877257,101.0602572
13720,82.96261548,101.1171889
13730,82.95589736,101.0303055
13740,82.92430007,100.9125685
13750,82.91684922,100.8210969
13760,82.94083878,100.7640675
13770,83.02672189,100.7758201
13780,83.11057607,100.7936085
13790,83.16975196,100.8063832
13800,83.37538892,101.0073606
13810,83.81129785,101.4785274
13820,84.37330223,102.0914955
13830,84.9358808,102.7025481
13840,85.43368566,103.2425393
13850,85.8791181,103.731987
13860,86.31808087,104.2274654
13870,86.78897941,104.7740481
13880,87.31591832,105.3970417
13890,87.89645765,106.0890593
13900,88.5046437,106.8147767
13910,89.1067342,107.5295312
13920,89.66549155,108.1852809
13930,90.14194743,108.7341273
13940,90.51001801,109.145415
13950,90.76365748,109.4130279
13960,90.91748368,109.5550773
13970,90.99767427,109.6028753
13980,91.02244095,109.5790485
13990,91.01424795,109.5106676
14000,90.99266223,109.422018
14010,90.97352182,109.3331515
14020,90.9728818,109.2642183
14030,91.0049891,109.2331683
14040,91.07970192,109.2529288
14050,91.20407449,109.3330571
14060,91.38722804,109.484776
14070,91.63311131,109.7132492
14080,91.94010654,110.0162692
14090,92.30588675,110.3904455
14100,92.72688534,110.8297967
14110,93.19126625,111.3187539
14120,93.6834801,111.8375287
14130,94.18207795,112.3610712
14140,94.6686889,112.8697542
14150,95.1456974,113.3679364
14160,95.62766577,113.8730991
14170,96.12569573,114.3980862
14180,96.64183499,114.945192
14190,97.17672086,115.5147151
14200,97.72952387,116.1048618
14210,98.29500534,116.7088051
14220,98.8669768,117.3188155
14230,99.4403289,117.9284568
14240,100.0137045,118.5353907
14250,100.5858076,119.1372469
14260,101.1500846,119.7262498
14270,101.7024992,120.2982536
14280,102.2415394,120.8530164
14290,102.7707976,121.3969413
14300,103.3028599,121.9466742
14310,103.8552092,122.5237268
14320,104.4404467,123.1430469
14330,105.0647409,123.8113153
14340,105.7289231,124.5281921
14350,106.4236898,125.2815066
14360,107.1362504,126.055194
14370,107.8538324,126.8334899
14380,108.5655652,127.6032076
14390,109.2649884,128.3565505
14400,109.9484225,129.0893181
14410,110.6155342,129.8013352
14420,111.2702327,130.4971789
14430,111.9171978,131.182185
14440,112.5571769,131.857362
14450,113.1931893,132.5262275
14460,113.8289506,133.1929506
14470,114.4641294,133.8572589
14480,115.1004393,134.521242
14490,115.7399808,135.1873722
14500,116.3827124,135.8558857
14510,117.0308298,136.5295899
14520,117.6844007,137.2091074
14530,118.345671,137.8975688
14540,119.0173075,138.5986292
14550,119.7001635,139.3140072
14560,120.3951413,140.0455818
14570,121.1049956,140.7973165
14580,121.8293574,141.5697173
14590,122.5677967,142.3634164
14600,123.3198591,143.1791981
14610,124.0850148,144.0178964
14620,124.865283,144.8830646
14630,125.66132,145.7764989
14640,126.4723871,146.6979397
14650,127.298873,147.6474743
14660,128.1386157,148.6210515
14670,128.9817837,149.6048337
14680,129.8165134,150.5814458
14690,130.6236526,151.5244911
14700,131.3790274,152.4018278
14710,132.0584204,153.1818529
14720,132.6384027,153.8353713
14730,133.104435,154.345239
14740,133.453545,154.7094761
14750,133.6968169,154.943732
14760,133.8590558,155.0800539
14770,133.9721451,155.1584354
14780,134.0692031,155.2197303
14790,134.1766063,155.2962063
14800,134.3127765,155.4102539
14810,134.4892991,155.575683
14820,134.7096402,155.796377
14830,134.972216,156.0697568
14840,135.2720368,156.3886753
14850,135.5973804,156.7382014
14860,135.9347684,157.1015654
14870,136.2728026,157.4645895
14880,136.6023739,157.8159444
14890,136.9168545,158.1474508
14900,137.2123992,158.4545263
14910,137.4859039,158.7340548
14920,137.7395604,158.9892873
14930,137.9800606,159.228634
14940,138.21267,159.4590852
14950,138.4433099,159.6884315
14960,138.6790098,159.9255066
14970,138.9262031,160.1780776
14980,139.188532,160.4503523
14990,139.4663346,160.7424569
15000,139.7583038,161.0523305
15010,140.0612632,161.3754733
15020,140.3696053,161.7045016
15030,140.6775473,162.0319153
15040,140.9775382,162.3485902
15050,141.2644647,162.6485122
15060,141.5387079,162.9319819
15070,141.8004742,163.1992947
15080,142.0493713,163.4504937
15090,142.288964,163.6902848
15100,142.5230489,163.9237716
15110,142.7582757,164.1591079
15120,143.0005951,164.4032924
15130,143.2529014,164.6595557
15140,143.5168318,164.9294079
15150,143.7900551,165.2098469
15160,144.0699226,165.4974303
15170,144.3558577,165.7907974
15180,144.645191,166.0862075
15190,144.9322587,166.3769039
15200,145.214393,166.6597854
15210,145.4926482,166.9360461
15220,145.7680644,167.2069957
15230,146.0414859,167.4739561
15240,146.3158701,167.7407672
15250,146.5937938,168.010955
15260,146.8784643,168.2888563
15270,147.1738829,168.5797479
15280,147.4824972,168.8872048
15290,147.8071765,169.2152464
15300,148.1516587,169.568639
15310,148.5161735,169.9480821
15320,148.9013632,170.3545306
15330,149.306305,170.7869034
15340,149.7281186,171.2417263
15350,150.1640033,171.7153426
15360,150.6089139,172.2015898
15370,151.0566092,172.6930164
15380,151.5023324,173.1838093
15390,151.9428984,173.6698398
15400,152.3746638,174.1465075
15410,152.7932093,174.6085105
15420,153.1951757,175.0517579
15430,153.5816674,175.4771606
15440,153.9513842,175.8829731
15450,154.3023843,176.2668864
15460,154.6363614,176.6306123
15470,154.9535265,176.9742308
15480,155.2538691,177.2976813
15490,155.53952,177.603292
15500,155.8105581,177.8911895
15510,156.0690859,178.1638013
15520,156.3175734,178.4239179
15530,156.5565122,178.6721863
15540,156.7886252,178.9117394
15550,157.0148087,179.1437289
15560,157.2358156,179.3692993
15570,157.4547027,179.5921534
15580,157.6727322,179.8140101
15590,157.8926233,180.0382011
15600,158.1164976,180.2672215
15610,158.3446524,180.5015243
15620,158.5774678,180.7416246
15630,158.8154641,180.988107
15640,159.0594742,181.24175
15650,159.3084245,181.5011129
15660,159.5610962,181.7645941
15670,159.8161335,182.0304192
15680,160.0718464,182.2964979
15690,160.3285599,182.5629317
15700,160.5843663,182.8274036
15710,160.8390948,183.0896318
15720,161.0925205,183.3493073
15730,161.3440753,183.6059547
15740,161.5951757,183.8614504
15750,161.8447869,184.1152217
15760,162.0973249,184.372876
15770,162.3578567,184.6403603
15780,162.6272601,184.9188277
15790,162.9042883,185.2071591
15800,163.189721,185.5064338
15810,163.4847951,185.8179951
15820,163.7890655,186.1411787
15830,164.0999491,186.4729773
15840,164.4143238,186.8098571
15850,164.7330592,187.1525813
15860,165.0553719,187.4998503
15870,165.3782453,187.8478435
15880,165.7005631,188.1947112
15890,166.018856,188.5360307
15900,166.3310407,188.8689611
15910,166.6344688,189.1901192
15920,166.9281804,189.4982513
15930,167.2106792,189.7918268
15940,167.4816734,190.0710353
15950,167.7471667,190.3430318
15960,168.009745,190.6112368
15970,168.2722248,190.8794288
15980,168.5377924,191.1518023
15990,168.8102249,191.4331217
16000,169.0919974,191.7265641
16010,169.3839431,192.0334364
16020,169.6872983,192.3553297
16030,170.0015825,192.6918092
16040,170.3265682,193.0425392
16050,170.6601173,193.4049509
16060,171.0000208,193.776231
16070,171.3439213,194.1533017
16080,171.6894043,194.5329087
16090,172.031763,194.9090987
16100,172.3677779,195.2777618
16110,172.6930076,195.6337883
16120,173.0060315,195.9756821
16130,173.3094133,196.306288
16140,173.6040794,196.6265441
16150,173.8911238,196.9375739
16160,174.1695611,197.2382909
16170,174.4401615,197.529573
16180,174.7061303,197.8148098
16190,174.9670048,198.093326
16200,175.2220801,198.3642511
16210,175.4725727,198.6288118
16220,175.7200064,198.8884728
16230,175.9639784,199.1426237
16240,176.2038585,199.3904794
16250,176.4407632,199.6333547
16260,176.6759686,199.8727859
16270,176.9083458,200.1078888
16280,177.1430856,200.3449417
16290,177.3818085,200.5861244
16300,177.6262457,200.8338527
16310,177.8783552,201.0908147
16320,178.1404464,201.3600105
16330,178.4154852,201.6450019
16340,178.7028505,201.9453663
16350,179.0017953,202.2605629
16360,179.313759,202.5923237
16370,179.6387272,202.9405197
16380,179.9748642,203.3028555
16390,180.3203434,203.6769191
16400,180.6711064,204.0577793
16410,181.024592,204.4421695
16420,181.3778779,204.826481
16430,181.7273492,205.2064999
16440,182.0730234,205.5819151
16450,182.4151149,205.9524899
16460,182.7519445,206.3158971
16470,183.0791736,206.667033
16480,183.3971088,207.0061645
16490,183.7064672,207.3341151
16500,184.0078553,207.6516749
16510,184.3039878,207.9619734
16520,184.5958286,208.2662993
16530,184.8842043,208.565963
16540,185.1719993,208.864578
16550,185.4626546,209.1662556
16560,185.7582575,209.4735046
16570,186.0592059,209.7869572
16580,186.3659368,210.1073296
16590,186.6789648,210.4354313
16600,186.998954,210.7721857
16610,187.326852,211.118738
16620,187.6618621,211.4742354
16630,188.0030539,211.837747
16640,188.3494524,212.2082748
16650,188.699822,212.5846269
16660,189.0550278,212.9678378
16670,189.4121702,213.3548487
16680,189.7723742,213.7471038
16690,190.1345374,214.1434195
16700,190.4974602,214.5424998
16710,190.8599246,214.942938
16720,191.2206148,215.3431907
16730,191.5782441,215.7416684
16740,191.9291701,216.1342814
16750,192.2732888,216.5208764
16760,192.6085016,216.8990532
16770,192.9344924,217.2682886
16780,193.2511755,217.6282021
16790,193.5542664,217.9739045
16800,193.8426631,218.3041187
16810,194.1172403,218.6196363
16820,194.3770675,218.9191935
16830,194.6210531,219.2013626
16840,194.8477971,219.4644384
16850,195.0575891,219.708603
16860,195.250854,219.9340269
16870,195.4281236,220.1408818
16880,195.5902161,220.3295536
16890,195.7337287,220.4956755
16900,195.8585667,220.6387364
16910,195.9666099,220.7603225
16920,196.0580094,220.8600435
16930,196.132716,220.9373299
16940,196.19259,220.9936897
16950,196.237569,221.0285548
16960,196.2692538,221.0433252
16970,196.289153,221.0394757
16980,196.2984847,221.0184073
16990,196.3022082,220.9858876
17000,196.3037107,220.946177
17010,196.3062264,220.9037915
17020,196.317061,220.8680683
17030,196.3400781,220.8449883
17040,196.3831118,220.8453566
17050,196.4550197,220.8812494
17060,196.5640339,220.9640001
17070,196.7202211,221.1065654
17080,196.9281279,221.3152726
17090,197.1901073,221.5933744
17100,197.5062657,221.940871
17110,197.8699901,222.3497251
17120,198.2703518,222.8068752
17130,198.6961494,223.2988702
17140,199.1359406,223.8119043
17150,199.5808487,224.3348277
17160,200.0209776,224.8552423
17170,200.4469927,225.3614219
17180,200.8500707,225.8422668
17190,201.223858,226.2894356
17200,201.5650758,226.6979168
17210,201.8677327,227.0598096
17220,202.1284337,227.370257
17230,202.3469174,227.6279475
17240,202.5225187,227.8312266
17250,202.655926,227.9801403
17260,202.7493813,228.0767255
17270,202.8047472,228.1230039
17280,202.8273133,228.1251727
17290,202.8243604,228.091929
