11460	-30	20	-38
11550	-30	20	-14
11700	-30	30	-65
12570	-130	522	43
13620	-210	140	26
13910	-130	60	54
14380	-100	50	33
14490	-117	116	23
14580	-104	106	53
14700	-40	60	56
15550	-510	220	62
16640	-540	160	144
17100	-140	270	178
18190	-250	370	273
18940	-190	370	314
19940	-410	222	276
20760	-230	300	267
22250	-240	510	312
24550	-670	360	390
11460	-30	20	-60
11550	-30	20	-90
11700	-30	30	-104
11970	-207	243	-121
12340	-238	405	-81
12570	-130	522	-110
13190	-373	355	-84
13620	-210	140	-38
13910	-130	60	-53
14130	-179	185	39
14380	-100	50	-19
14490	-117	116	-1
14580	-104	106	-24
14700	-40	60	-66
15550	-510	220	-102
16640	-540	160	-15
17100	-140	270	25
18190	-250	370	142
18600	-346	410	129
19190	-265	381	207
11560	-179	170	-91
12680	-206	358	-46
14420	-112	134	93
11060	-357	345	-15
11390	-219	205	35
11950	-140	90	-115
12430	-140	280	-149
13200	-650	120	-28
13430	-155	75	-10
13630	-110	60	10
13810	-80	60	56
13940	-104	115	58
14100	-60	40	80
14260	-60	50	56
14430	-122	139	126
14600	-157	176	131
11950	-140	90	-74
12430	-140	280	-89
13200	-650	120	-26
13440	-155	75	30
13630	-110	60	25
13810	-80	60	46
13940	-104	115	15
14100	-60	40	47
14260	-60	50	61
14430	-122	139	96
14600	-157	176	137
