20000.0	-6.461	0.033
19900.0	-6.462	0.032
19800.0	-6.462	0.031
19700.0	-6.463	0.031
19600.0	-6.463	0.031
19500.0	-6.464	0.031
19400.0	-6.463	0.032
19300.0	-6.460	0.031
19200.0	-6.455	0.031
19100.0	-6.450	0.031
19000.0	-6.445	0.032
18900.0	-6.440	0.033
18800.0	-6.435	0.032
18700.0	-6.431	0.032
18600.0	-6.427	0.032
18500.0	-6.424	0.033
18400.0	-6.421	0.034
18300.0	-6.418	0.036
18200.0	-6.417	0.037
18100.0	-6.417	0.038
18000.0	-6.417	0.040
17900.0	-6.418	0.041
17800.0	-6.416	0.042
17700.0	-6.413	0.040
17600.0	-6.408	0.039
17500.0	-6.403	0.044
17400.0	-6.404	0.052
17300.0	-6.414	0.055
17200.0	-6.435	0.048
17100.0	-6.465	0.035
17000.0	-6.500	0.030
16900.0	-6.534	0.037
16800.0	-6.567	0.046
16700.0	-6.597	0.053
16600.0	-6.623	0.058
16500.0	-6.644	0.060
16400.0	-6.660	0.059
16300.0	-6.672	0.058
16200.0	-6.681	0.058
16000.0	-6.691	0.056
15900.0	-6.694	0.054
15800.0	-6.697	0.050
15700.0	-6.698	0.046
15600.0	-6.698	0.042
15500.0	-6.697	0.038
15400.0	-6.694	0.038
15300.0	-6.686	0.035
15200.0	-6.675	0.033
15100.0	-6.664	0.036
15000.0	-6.658	0.040
14900.0	-6.654	0.041
14800.0	-6.651	0.041
14700.0	-6.650	0.042
14600.0	-6.649	0.044
14500.0	-6.647	0.045
14400.0	-6.645	0.045
14300.0	-6.641	0.045
14200.0	-6.638	0.045
14100.0	-6.635	0.046
14000.0	-6.632	0.045
13900.0	-6.630	0.043
13800.0	-6.628	0.042
13700.0	-6.627	0.041
13600.0	-6.627	0.041
13500.0	-6.627	0.041
13400.0	-6.629	0.040
13300.0	-6.631	0.040
13200.0	-6.634	0.040
13100.0	-6.638	0.040
13000.0	-6.642	0.040
12900.0	-6.648	0.038
12800.0	-6.656	0.035
12700.0	-6.664	0.033
12600.0	-6.672	0.033
12500.0	-6.679	0.036
12400.0	-6.684	0.040
12300.0	-6.687	0.042
12200.0	-6.687	0.042
12100.0	-6.684	0.040
12000.0	-6.679	0.038
11900.0	-6.671	0.035
11800.0	-6.662	0.033
11700.0	-6.653	0.033
11600.0	-6.643	0.035
11500.0	-6.635	0.035
11400.0	-6.627	0.035
11300.0	-6.621	0.034
11200.0	-6.614	0.034
11100.0	-6.608	0.034
11000.0	-6.602	0.033
10900.0	-6.596	0.031
10800.0	-6.590	0.030
10700.0	-6.583	0.029
10600.0	-6.576	0.029
10500.0	-6.569	0.028
10400.0	-6.561	0.028
10300.0	-6.553	0.028
10200.0	-6.544	0.029
10100.0	-6.535	0.030
10000.0	-6.526	0.030
9900.0	-6.516	0.031
9800.0	-6.507	0.031
9700.0	-6.498	0.031
9600.0	-6.489	0.032
9500.0	-6.481	0.032
9400.0	-6.473	0.032
9300.0	-6.465	0.031
9200.0	-6.457	0.031
9100.0	-6.450	0.031
9000.0	-6.443	0.032
8900.0	-6.436	0.032
8800.0	-6.430	0.032
8700.0	-6.424	0.033
8600.0	-6.419	0.033
8500.0	-6.414	0.033
8400.0	-6.409	0.032
8300.0	-6.405	0.031
8200.0	-6.402	0.031
8100.0	-6.398	0.031
8000.0	-6.394	0.031
7900.0	-6.391	0.032
7800.0	-6.388	0.033
7700.0	-6.384	0.033
7600.0	-6.380	0.034
7500.0	-6.376	0.033
7400.0	-6.371	0.032
7300.0	-6.367	0.031
7200.0	-6.362	0.030
7100.0	-6.357	0.029
7000.0	-6.352	0.028
6900.0	-6.347	0.028
6800.0	-6.343	0.028
6700.0	-6.339	0.029
6600.0	-6.335	0.030
6500.0	-6.332	0.030
6400.0	-6.330	0.031
6300.0	-6.328	0.031
6200.0	-6.327	0.030
6100.0	-6.326	0.030
6000.0	-6.325	0.030
5900.0	-6.325	0.030
5800.0	-6.325	0.031
5700.0	-6.325	0.031
5600.0	-6.325	0.031
5500.0	-6.325	0.031
5400.0	-6.325	0.032
5300.0	-6.325	0.032
5200.0	-6.326	0.032
5100.0	-6.326	0.033
5000.0	-6.327	0.033
4900.0	-6.328	0.034
4800.0	-6.329	0.034
4700.0	-6.330	0.034
4600.0	-6.331	0.033
4500.0	-6.332	0.033
4400.0	-6.333	0.033
4300.0	-6.334	0.032
4200.0	-6.335	0.032
4100.0	-6.336	0.031
4000.0	-6.337	0.031
3900.0	-6.338	0.030
3800.0	-6.339	0.030
3700.0	-6.341	0.030
3600.0	-6.342	0.030
3500.0	-6.343	0.030
3400.0	-6.345	0.030
3300.0	-6.346	0.030
3200.0	-6.348	0.030
3100.0	-6.349	0.029
3000.0	-6.351	0.030
2900.0	-6.353	0.030
2800.0	-6.355	0.030
2700.0	-6.356	0.031
2600.0	-6.358	0.031
2500.0	-6.359	0.031
2400.0	-6.360	0.031
2300.0	-6.361	0.031
2200.0	-6.362	0.030
2100.0	-6.362	0.030
2000.0	-6.363	0.030
1900.0	-6.363	0.031
1800.0	-6.363	0.031
1700.0	-6.363	0.032
1600.0	-6.363	0.032
1500.0	-6.363	0.033
1400.0	-6.363	0.033
1300.0	-6.363	0.033
1200.0	-6.363	0.034
1100.0	-6.362	0.035
1000.0	-6.362	0.036
900.0	-6.361	0.038
800.0	-6.359	0.040
700.0	-6.357	0.043
600.0	-6.355	0.048
500.0	-6.351	0.056
