Gas age [ka BP]	δ13C CO2 [‰ PDB]	δ13C CO2 std dev [±]
0.445	-6.349	0.061
0.446	-6.349	0.061
0.447	-6.349	0.061
0.448	-6.349	0.061
0.449	-6.350	0.061
0.450	-6.350	0.061
0.451	-6.350	0.061
0.452	-6.350	0.061
0.453	-6.350	0.061
0.454	-6.350	0.060
0.455	-6.350	0.060
0.456	-6.350	0.060
0.457	-6.350	0.060
0.458	-6.350	0.060
0.459	-6.350	0.060
0.460	-6.350	0.060
0.461	-6.350	0.060
0.462	-6.350	0.060
0.463	-6.350	0.059
0.464	-6.350	0.059
0.465	-6.350	0.059
0.466	-6.350	0.059
0.467	-6.350	0.059
0.468	-6.350	0.059
0.469	-6.350	0.059
0.470	-6.350	0.059
0.471	-6.350	0.059
0.472	-6.350	0.059
0.473	-6.350	0.058
0.474	-6.350	0.058
0.475	-6.350	0.058
0.476	-6.351	0.058
0.477	-6.351	0.058
0.478	-6.351	0.058
0.479	-6.351	0.058
0.480	-6.351	0.058
0.481	-6.351	0.058
0.482	-6.351	0.058
0.483	-6.351	0.057
0.484	-6.351	0.057
0.485	-6.351	0.057
0.486	-6.351	0.057
0.487	-6.351	0.057
0.488	-6.351	0.057
0.489	-6.351	0.057
0.490	-6.351	0.057
0.491	-6.351	0.057
0.492	-6.351	0.057
0.493	-6.351	0.056
0.494	-6.351	0.056
0.495	-6.351	0.056
0.496	-6.351	0.056
0.497	-6.351	0.056
0.498	-6.351	0.056
0.499	-6.351	0.056
0.500	-6.351	0.056
0.501	-6.351	0.056
0.502	-6.351	0.056
0.503	-6.352	0.056
0.504	-6.352	0.055
0.505	-6.352	0.055
0.506	-6.352	0.055
0.507	-6.352	0.055
0.508	-6.352	0.055
0.509	-6.352	0.055
0.510	-6.352	0.055
0.511	-6.352	0.055
0.512	-6.352	0.055
0.513	-6.352	0.055
0.514	-6.352	0.055
0.515	-6.352	0.054
0.516	-6.352	0.054
0.517	-6.352	0.054
0.518	-6.352	0.054
0.519	-6.352	0.054
0.520	-6.352	0.054
0.521	-6.352	0.054
0.522	-6.352	0.054
0.523	-6.352	0.054
0.524	-6.352	0.054
0.525	-6.352	0.054
0.526	-6.352	0.054
0.527	-6.352	0.053
0.528	-6.352	0.053
0.529	-6.352	0.053
0.530	-6.352	0.053
0.531	-6.352	0.053
0.532	-6.352	0.053
0.533	-6.353	0.053
0.534	-6.353	0.053
0.535	-6.353	0.053
0.536	-6.353	0.053
0.537	-6.353	0.053
0.538	-6.353	0.053
0.539	-6.353	0.052
0.540	-6.353	0.052
0.541	-6.353	0.052
0.542	-6.353	0.052
0.543	-6.353	0.052
0.544	-6.353	0.052
0.545	-6.353	0.052
0.546	-6.353	0.052
0.547	-6.353	0.052
0.548	-6.353	0.052
0.549	-6.353	0.052
0.550	-6.353	0.052
0.551	-6.353	0.052
0.552	-6.353	0.051
0.553	-6.353	0.051
0.554	-6.353	0.051
0.555	-6.353	0.051
0.556	-6.353	0.051
0.557	-6.353	0.051
0.558	-6.353	0.051
0.559	-6.353	0.051
0.560	-6.353	0.051
0.561	-6.353	0.051
0.562	-6.353	0.051
0.563	-6.353	0.051
0.564	-6.353	0.051
0.565	-6.354	0.051
0.566	-6.354	0.050
0.567	-6.354	0.050
0.568	-6.354	0.050
0.569	-6.354	0.050
0.570	-6.354	0.050
0.571	-6.354	0.050
0.572	-6.354	0.050
0.573	-6.354	0.050
0.574	-6.354	0.050
0.575	-6.354	0.050
0.576	-6.354	0.050
0.577	-6.354	0.050
0.578	-6.354	0.050
0.579	-6.354	0.050
0.580	-6.354	0.050
0.581	-6.354	0.049
0.582	-6.354	0.049
0.583	-6.354	0.049
0.584	-6.354	0.049
0.585	-6.354	0.049
0.586	-6.354	0.049
0.587	-6.354	0.049
0.588	-6.354	0.049
0.589	-6.354	0.049
0.590	-6.354	0.049
0.591	-6.354	0.049
0.592	-6.354	0.049
0.593	-6.354	0.049
0.594	-6.354	0.049
0.595	-6.354	0.049
0.596	-6.354	0.049
0.597	-6.354	0.048
0.598	-6.355	0.048
0.599	-6.355	0.048
0.600	-6.355	0.048
0.601	-6.355	0.048
0.602	-6.355	0.048
0.603	-6.355	0.048
0.604	-6.355	0.048
0.605	-6.355	0.048
0.606	-6.355	0.048
0.607	-6.355	0.048
0.608	-6.355	0.048
0.609	-6.355	0.048
0.610	-6.355	0.048
0.611	-6.355	0.048
0.612	-6.355	0.048
0.613	-6.355	0.048
0.614	-6.355	0.047
0.615	-6.355	0.047
0.616	-6.355	0.047
0.617	-6.355	0.047
0.618	-6.355	0.047
0.619	-6.355	0.047
0.620	-6.355	0.047
0.621	-6.355	0.047
0.622	-6.355	0.047
0.623	-6.355	0.047
0.624	-6.355	0.047
0.625	-6.355	0.047
0.626	-6.355	0.047
0.627	-6.355	0.047
0.628	-6.355	0.047
0.629	-6.355	0.047
0.630	-6.355	0.047
0.631	-6.355	0.047
0.632	-6.355	0.046
0.633	-6.355	0.046
0.634	-6.355	0.046
0.635	-6.356	0.046
0.636	-6.356	0.046
0.637	-6.356	0.046
0.638	-6.356	0.046
0.639	-6.356	0.046
0.640	-6.356	0.046
0.641	-6.356	0.046
0.642	-6.356	0.046
0.643	-6.356	0.046
0.644	-6.356	0.046
0.645	-6.356	0.046
0.646	-6.356	0.046
0.647	-6.356	0.046
0.648	-6.356	0.046
0.649	-6.356	0.046
0.650	-6.356	0.046
0.651	-6.356	0.046
0.652	-6.356	0.045
0.653	-6.356	0.045
0.654	-6.356	0.045
0.655	-6.356	0.045
0.656	-6.356	0.045
0.657	-6.356	0.045
0.658	-6.356	0.045
0.659	-6.356	0.045
0.660	-6.356	0.045
0.661	-6.356	0.045
0.662	-6.356	0.045
0.663	-6.356	0.045
0.664	-6.356	0.045
0.665	-6.356	0.045
0.666	-6.356	0.045
0.667	-6.356	0.045
0.668	-6.356	0.045
0.669	-6.356	0.045
0.670	-6.356	0.045
0.671	-6.356	0.045
0.672	-6.356	0.045
0.673	-6.356	0.045
0.674	-6.356	0.044
0.675	-6.357	0.044
0.676	-6.357	0.044
0.677	-6.357	0.044
0.678	-6.357	0.044
0.679	-6.357	0.044
0.680	-6.357	0.044
0.681	-6.357	0.044
0.682	-6.357	0.044
0.683	-6.357	0.044
0.684	-6.357	0.044
0.685	-6.357	0.044
0.686	-6.357	0.044
0.687	-6.357	0.044
0.688	-6.357	0.044
0.689	-6.357	0.044
0.690	-6.357	0.044
0.691	-6.357	0.044
0.692	-6.357	0.044
0.693	-6.357	0.044
0.694	-6.357	0.044
0.695	-6.357	0.044
0.696	-6.357	0.044
0.697	-6.357	0.043
0.698	-6.357	0.043
0.699	-6.357	0.043
0.700	-6.357	0.043
0.701	-6.357	0.043
0.702	-6.357	0.043
0.703	-6.357	0.043
0.704	-6.357	0.043
0.705	-6.357	0.043
0.706	-6.357	0.043
0.707	-6.357	0.043
0.708	-6.357	0.043
0.709	-6.357	0.043
0.710	-6.357	0.043
0.711	-6.357	0.043
0.712	-6.357	0.043
0.713	-6.357	0.043
0.714	-6.357	0.043
0.715	-6.357	0.043
0.716	-6.357	0.043
0.717	-6.357	0.043
0.718	-6.357	0.043
0.719	-6.357	0.043
0.720	-6.358	0.043
0.721	-6.358	0.043
0.722	-6.358	0.043
0.723	-6.358	0.042
0.724	-6.358	0.042
0.725	-6.358	0.042
0.726	-6.358	0.042
0.727	-6.358	0.042
0.728	-6.358	0.042
0.729	-6.358	0.042
0.730	-6.358	0.042
0.731	-6.358	0.042
0.732	-6.358	0.042
0.733	-6.358	0.042
0.734	-6.358	0.042
0.735	-6.358	0.042
0.736	-6.358	0.042
0.737	-6.358	0.042
0.738	-6.358	0.042
0.739	-6.358	0.042
0.740	-6.358	0.042
0.741	-6.358	0.042
0.742	-6.358	0.042
0.743	-6.358	0.042
0.744	-6.358	0.042
0.745	-6.358	0.042
0.746	-6.358	0.042
0.747	-6.358	0.042
0.748	-6.358	0.042
0.749	-6.358	0.042
0.750	-6.358	0.042
0.751	-6.358	0.042
0.752	-6.358	0.041
0.753	-6.358	0.041
0.754	-6.358	0.041
0.755	-6.358	0.041
0.756	-6.358	0.041
0.757	-6.358	0.041
0.758	-6.358	0.041
0.759	-6.358	0.041
0.760	-6.358	0.041
0.761	-6.358	0.041
0.762	-6.358	0.041
0.763	-6.358	0.041
0.764	-6.358	0.041
0.765	-6.358	0.041
0.766	-6.358	0.041
0.767	-6.358	0.041
0.768	-6.358	0.041
0.769	-6.358	0.041
0.770	-6.359	0.041
0.771	-6.359	0.041
0.772	-6.359	0.041
0.773	-6.359	0.041
0.774	-6.359	0.041
0.775	-6.359	0.041
0.776	-6.359	0.041
0.777	-6.359	0.041
0.778	-6.359	0.041
0.779	-6.359	0.041
0.780	-6.359	0.041
0.781	-6.359	0.041
0.782	-6.359	0.041
0.783	-6.359	0.040
0.784	-6.359	0.040
0.785	-6.359	0.040
0.786	-6.359	0.040
0.787	-6.359	0.040
0.788	-6.359	0.040
0.789	-6.359	0.040
0.790	-6.359	0.040
0.791	-6.359	0.040
0.792	-6.359	0.040
0.793	-6.359	0.040
0.794	-6.359	0.040
0.795	-6.359	0.040
0.796	-6.359	0.040
0.797	-6.359	0.040
0.798	-6.359	0.040
0.799	-6.359	0.040
0.800	-6.359	0.040
0.801	-6.359	0.040
0.802	-6.359	0.040
0.803	-6.359	0.040
0.804	-6.359	0.040
0.805	-6.359	0.040
0.806	-6.359	0.040
0.807	-6.359	0.040
0.808	-6.359	0.040
0.809	-6.359	0.040
0.810	-6.359	0.040
0.811	-6.359	0.040
0.812	-6.359	0.040
0.813	-6.359	0.040
0.814	-6.359	0.040
0.815	-6.359	0.040
0.816	-6.359	0.040
0.817	-6.359	0.040
0.818	-6.359	0.040
0.819	-6.359	0.039
0.820	-6.359	0.039
0.821	-6.359	0.039
0.822	-6.359	0.039
0.823	-6.359	0.039
0.824	-6.359	0.039
0.825	-6.359	0.039
0.826	-6.359	0.039
0.827	-6.359	0.039
0.828	-6.360	0.039
0.829	-6.360	0.039
0.830	-6.360	0.039
0.831	-6.360	0.039
0.832	-6.360	0.039
0.833	-6.360	0.039
0.834	-6.360	0.039
0.835	-6.360	0.039
0.836	-6.360	0.039
0.837	-6.360	0.039
0.838	-6.360	0.039
0.839	-6.360	0.039
0.840	-6.360	0.039
0.841	-6.360	0.039
0.842	-6.360	0.039
0.843	-6.360	0.039
0.844	-6.360	0.039
0.845	-6.360	0.039
0.846	-6.360	0.039
0.847	-6.360	0.039
0.848	-6.360	0.039
0.849	-6.360	0.039
0.850	-6.360	0.039
0.851	-6.360	0.039
0.852	-6.360	0.039
0.853	-6.360	0.039
0.854	-6.360	0.039
0.855	-6.360	0.039
0.856	-6.360	0.039
0.857	-6.360	0.039
0.858	-6.360	0.039
0.859	-6.360	0.038
0.860	-6.360	0.038
0.861	-6.360	0.038
0.862	-6.360	0.038
0.863	-6.360	0.038
0.864	-6.360	0.038
0.865	-6.360	0.038
0.866	-6.360	0.038
0.867	-6.360	0.038
0.868	-6.360	0.038
0.869	-6.360	0.038
0.870	-6.360	0.038
0.871	-6.360	0.038
0.872	-6.360	0.038
0.873	-6.360	0.038
0.874	-6.360	0.038
0.875	-6.360	0.038
0.876	-6.360	0.038
0.877	-6.360	0.038
0.878	-6.360	0.038
0.879	-6.360	0.038
0.880	-6.360	0.038
0.881	-6.360	0.038
0.882	-6.360	0.038
0.883	-6.360	0.038
0.884	-6.360	0.038
0.885	-6.360	0.038
0.886	-6.360	0.038
0.887	-6.360	0.038
0.888	-6.360	0.038
0.889	-6.360	0.038
0.890	-6.360	0.038
0.891	-6.360	0.038
0.892	-6.360	0.038
0.893	-6.360	0.038
0.894	-6.360	0.038
0.895	-6.360	0.038
0.896	-6.360	0.038
0.897	-6.360	0.038
0.898	-6.361	0.038
0.899	-6.361	0.038
0.900	-6.361	0.038
0.901	-6.361	0.038
0.902	-6.361	0.038
0.903	-6.361	0.038
0.904	-6.361	0.038
0.905	-6.361	0.037
0.906	-6.361	0.037
0.907	-6.361	0.037
0.908	-6.361	0.037
0.909	-6.361	0.037
0.910	-6.361	0.037
0.911	-6.361	0.037
0.912	-6.361	0.037
0.913	-6.361	0.037
0.914	-6.361	0.037
0.915	-6.361	0.037
0.916	-6.361	0.037
0.917	-6.361	0.037
0.918	-6.361	0.037
0.919	-6.361	0.037
0.920	-6.361	0.037
0.921	-6.361	0.037
0.922	-6.361	0.037
0.923	-6.361	0.037
0.924	-6.361	0.037
0.925	-6.361	0.037
0.926	-6.361	0.037
0.927	-6.361	0.037
0.928	-6.361	0.037
0.929	-6.361	0.037
0.930	-6.361	0.037
0.931	-6.361	0.037
0.932	-6.361	0.037
0.933	-6.361	0.037
0.934	-6.361	0.037
0.935	-6.361	0.037
0.936	-6.361	0.037
0.937	-6.361	0.037
0.938	-6.361	0.037
0.939	-6.361	0.037
0.940	-6.361	0.037
0.941	-6.361	0.037
0.942	-6.361	0.037
0.943	-6.361	0.037
0.944	-6.361	0.037
0.945	-6.361	0.037
0.946	-6.361	0.037
0.947	-6.361	0.037
0.948	-6.361	0.037
0.949	-6.361	0.037
0.950	-6.361	0.037
0.951	-6.361	0.037
0.952	-6.361	0.037
0.953	-6.361	0.037
0.954	-6.361	0.037
0.955	-6.361	0.037
0.956	-6.361	0.037
0.957	-6.361	0.037
0.958	-6.361	0.037
0.959	-6.361	0.036
0.960	-6.361	0.036
0.961	-6.361	0.036
0.962	-6.361	0.036
0.963	-6.361	0.036
0.964	-6.361	0.036
0.965	-6.361	0.036
0.966	-6.361	0.036
0.967	-6.361	0.036
0.968	-6.361	0.036
0.969	-6.361	0.036
0.970	-6.361	0.036
0.971	-6.361	0.036
0.972	-6.361	0.036
0.973	-6.361	0.036
0.974	-6.361	0.036
0.975	-6.361	0.036
0.976	-6.361	0.036
0.977	-6.361	0.036
0.978	-6.361	0.036
0.979	-6.361	0.036
0.980	-6.361	0.036
0.981	-6.361	0.036
0.982	-6.361	0.036
0.983	-6.361	0.036
0.984	-6.361	0.036
0.985	-6.361	0.036
0.986	-6.361	0.036
0.987	-6.361	0.036
0.988	-6.361	0.036
0.989	-6.362	0.036
0.990	-6.362	0.036
0.991	-6.362	0.036
0.992	-6.362	0.036
0.993	-6.362	0.036
0.994	-6.362	0.036
0.995	-6.362	0.036
0.996	-6.362	0.036
0.997	-6.362	0.036
0.998	-6.362	0.036
0.999	-6.362	0.036
1.000	-6.362	0.036
1.001	-6.362	0.036
1.002	-6.362	0.036
1.003	-6.362	0.036
1.004	-6.362	0.036
1.005	-6.362	0.036
1.006	-6.362	0.036
1.007	-6.362	0.036
1.008	-6.362	0.036
1.009	-6.362	0.036
1.010	-6.362	0.036
1.011	-6.362	0.036
1.012	-6.362	0.036
1.013	-6.362	0.036
1.014	-6.362	0.036
1.015	-6.362	0.036
1.016	-6.362	0.036
1.017	-6.362	0.036
1.018	-6.362	0.036
1.019	-6.362	0.036
1.020	-6.362	0.036
1.021	-6.362	0.036
1.022	-6.362	0.036
1.023	-6.362	0.036
1.024	-6.362	0.035
1.025	-6.362	0.035
1.026	-6.362	0.035
1.027	-6.362	0.035
1.028	-6.362	0.035
1.029	-6.362	0.035
1.030	-6.362	0.035
1.031	-6.362	0.035
1.032	-6.362	0.035
1.033	-6.362	0.035
1.034	-6.362	0.035
1.035	-6.362	0.035
1.036	-6.362	0.035
1.037	-6.362	0.035
1.038	-6.362	0.035
1.039	-6.362	0.035
1.040	-6.362	0.035
1.041	-6.362	0.035
1.042	-6.362	0.035
1.043	-6.362	0.035
1.044	-6.362	0.035
1.045	-6.362	0.035
1.046	-6.362	0.035
1.047	-6.362	0.035
1.048	-6.362	0.035
1.049	-6.362	0.035
1.050	-6.362	0.035
1.051	-6.362	0.035
1.052	-6.362	0.035
1.053	-6.362	0.035
1.054	-6.362	0.035
1.055	-6.362	0.035
1.056	-6.362	0.035
1.057	-6.362	0.035
1.058	-6.362	0.035
1.059	-6.362	0.035
1.060	-6.362	0.035
1.061	-6.362	0.035
1.062	-6.362	0.035
1.063	-6.362	0.035
1.064	-6.362	0.035
1.065	-6.362	0.035
1.066	-6.362	0.035
1.067	-6.362	0.035
1.068	-6.362	0.035
1.069	-6.362	0.035
1.070	-6.362	0.035
1.071	-6.362	0.035
1.072	-6.362	0.035
1.073	-6.362	0.035
1.074	-6.362	0.035
1.075	-6.362	0.035
1.076	-6.362	0.035
1.077	-6.362	0.035
1.078	-6.362	0.035
1.079	-6.362	0.035
1.080	-6.362	0.035
1.081	-6.362	0.035
1.082	-6.362	0.035
1.083	-6.362	0.035
1.084	-6.362	0.035
1.085	-6.362	0.035
1.086	-6.362	0.035
1.087	-6.362	0.035
1.088	-6.362	0.035
1.089	-6.362	0.035
1.090	-6.362	0.035
1.091	-6.362	0.035
1.092	-6.362	0.035
1.093	-6.362	0.035
1.094	-6.362	0.035
1.095	-6.362	0.035
1.096	-6.362	0.035
1.097	-6.362	0.035
1.098	-6.362	0.035
1.099	-6.362	0.035
1.100	-6.362	0.035
1.101	-6.362	0.035
1.102	-6.362	0.035
1.103	-6.362	0.035
1.104	-6.362	0.035
1.105	-6.362	0.034
1.106	-6.362	0.034
1.107	-6.362	0.034
1.108	-6.362	0.034
1.109	-6.362	0.034
1.110	-6.362	0.034
1.111	-6.362	0.034
1.112	-6.362	0.034
1.113	-6.362	0.034
1.114	-6.362	0.034
1.115	-6.362	0.034
1.116	-6.362	0.034
1.117	-6.362	0.034
1.118	-6.362	0.034
1.119	-6.362	0.034
1.120	-6.362	0.034
1.121	-6.362	0.034
1.122	-6.362	0.034
1.123	-6.363	0.034
1.124	-6.363	0.034
1.125	-6.363	0.034
1.126	-6.363	0.034
1.127	-6.363	0.034
1.128	-6.363	0.034
1.129	-6.363	0.034
1.130	-6.363	0.034
1.131	-6.363	0.034
1.132	-6.363	0.034
1.133	-6.363	0.034
1.134	-6.363	0.034
1.135	-6.363	0.034
1.136	-6.363	0.034
1.137	-6.363	0.034
1.138	-6.363	0.034
1.139	-6.363	0.034
1.140	-6.363	0.034
1.141	-6.363	0.034
1.142	-6.363	0.034
1.143	-6.363	0.034
1.144	-6.363	0.034
1.145	-6.363	0.034
1.146	-6.363	0.034
1.147	-6.363	0.034
1.148	-6.363	0.034
1.149	-6.363	0.034
1.150	-6.363	0.034
1.151	-6.363	0.034
1.152	-6.363	0.034
1.153	-6.363	0.034
1.154	-6.363	0.034
1.155	-6.363	0.034
1.156	-6.363	0.034
1.157	-6.363	0.034
1.158	-6.363	0.034
1.159	-6.363	0.034
1.160	-6.363	0.034
1.161	-6.363	0.034
1.162	-6.363	0.034
1.163	-6.363	0.034
1.164	-6.363	0.034
1.165	-6.363	0.034
1.166	-6.363	0.034
1.167	-6.363	0.034
1.168	-6.363	0.034
1.169	-6.363	0.034
1.170	-6.363	0.034
1.171	-6.363	0.034
1.172	-6.363	0.034
1.173	-6.363	0.034
1.174	-6.363	0.034
1.175	-6.363	0.034
1.176	-6.363	0.034
1.177	-6.363	0.034
1.178	-6.363	0.034
1.179	-6.363	0.034
1.180	-6.363	0.034
1.181	-6.363	0.034
1.182	-6.363	0.034
1.183	-6.363	0.034
1.184	-6.363	0.034
1.185	-6.363	0.034
1.186	-6.363	0.034
1.187	-6.363	0.034
1.188	-6.363	0.034
1.189	-6.363	0.034
1.190	-6.363	0.034
1.191	-6.363	0.034
1.192	-6.363	0.034
1.193	-6.363	0.034
1.194	-6.363	0.034
1.195	-6.363	0.034
1.196	-6.363	0.034
1.197	-6.363	0.034
1.198	-6.363	0.034
1.199	-6.363	0.034
1.200	-6.363	0.034
1.201	-6.363	0.034
1.202	-6.363	0.034
1.203	-6.363	0.034
1.204	-6.363	0.034
1.205	-6.363	0.034
1.206	-6.363	0.034
1.207	-6.363	0.034
1.208	-6.363	0.034
1.209	-6.363	0.034
1.210	-6.363	0.034
1.211	-6.363	0.034
1.212	-6.363	0.034
1.213	-6.363	0.034
1.214	-6.363	0.034
1.215	-6.363	0.033
1.216	-6.363	0.033
1.217	-6.363	0.033
1.218	-6.363	0.033
1.219	-6.363	0.033
1.220	-6.363	0.033
1.221	-6.363	0.033
1.222	-6.363	0.033
1.223	-6.363	0.033
1.224	-6.363	0.033
1.225	-6.363	0.033
1.226	-6.363	0.033
1.227	-6.363	0.033
1.228	-6.363	0.033
1.229	-6.363	0.033
1.230	-6.363	0.033
1.231	-6.363	0.033
1.232	-6.363	0.033
1.233	-6.363	0.033
1.234	-6.363	0.033
1.235	-6.363	0.033
1.236	-6.363	0.033
1.237	-6.363	0.033
1.238	-6.363	0.033
1.239	-6.363	0.033
1.240	-6.363	0.033
1.241	-6.363	0.033
1.242	-6.363	0.033
1.243	-6.363	0.033
1.244	-6.363	0.033
1.245	-6.363	0.033
1.246	-6.363	0.033
1.247	-6.363	0.033
1.248	-6.363	0.033
1.249	-6.363	0.033
1.250	-6.363	0.033
1.251	-6.363	0.033
1.252	-6.363	0.033
1.253	-6.363	0.033
1.254	-6.363	0.033
1.255	-6.363	0.033
1.256	-6.363	0.033
1.257	-6.363	0.033
1.258	-6.363	0.033
1.259	-6.363	0.033
1.260	-6.363	0.033
1.261	-6.363	0.033
1.262	-6.363	0.033
1.263	-6.363	0.033
1.264	-6.363	0.033
1.265	-6.363	0.033
1.266	-6.363	0.033
1.267	-6.363	0.033
1.268	-6.363	0.033
1.269	-6.363	0.033
1.270	-6.363	0.033
1.271	-6.363	0.033
1.272	-6.363	0.033
1.273	-6.363	0.033
1.274	-6.363	0.033
1.275	-6.363	0.033
1.276	-6.363	0.033
1.277	-6.363	0.033
1.278	-6.363	0.033
1.279	-6.363	0.033
1.280	-6.363	0.033
1.281	-6.363	0.033
1.282	-6.363	0.033
1.283	-6.363	0.033
1.284	-6.363	0.033
1.285	-6.363	0.033
1.286	-6.363	0.033
1.287	-6.363	0.033
1.288	-6.363	0.033
1.289	-6.363	0.033
1.290	-6.363	0.033
1.291	-6.363	0.033
1.292	-6.363	0.033
1.293	-6.363	0.033
1.294	-6.363	0.033
1.295	-6.363	0.033
1.296	-6.363	0.033
1.297	-6.363	0.033
1.298	-6.363	0.033
1.299	-6.363	0.033
1.300	-6.363	0.033
1.301	-6.363	0.033
1.302	-6.363	0.033
1.303	-6.363	0.033
1.304	-6.363	0.033
1.305	-6.363	0.033
1.306	-6.363	0.033
1.307	-6.363	0.033
1.308	-6.363	0.033
1.309	-6.363	0.033
1.310	-6.363	0.033
1.311	-6.363	0.033
1.312	-6.363	0.033
1.313	-6.363	0.033
1.314	-6.363	0.033
1.315	-6.363	0.033
1.316	-6.363	0.033
1.317	-6.363	0.033
1.318	-6.363	0.033
1.319	-6.363	0.033
1.320	-6.363	0.033
1.321	-6.363	0.033
1.322	-6.363	0.033
1.323	-6.363	0.033
1.324	-6.363	0.033
1.325	-6.363	0.033
1.326	-6.363	0.033
1.327	-6.363	0.033
1.328	-6.363	0.033
1.329	-6.363	0.033
1.330	-6.363	0.033
1.331	-6.363	0.033
1.332	-6.363	0.033
1.333	-6.363	0.033
1.334	-6.363	0.033
1.335	-6.363	0.033
1.336	-6.363	0.033
1.337	-6.363	0.033
1.338	-6.363	0.033
1.339	-6.363	0.033
1.340	-6.363	0.033
1.341	-6.363	0.033
1.342	-6.363	0.033
1.343	-6.363	0.033
1.344	-6.363	0.033
1.345	-6.363	0.033
1.346	-6.363	0.033
1.347	-6.363	0.033
1.348	-6.363	0.033
1.349	-6.363	0.033
1.350	-6.363	0.033
1.351	-6.363	0.033
1.352	-6.363	0.033
1.353	-6.363	0.033
1.354	-6.363	0.033
1.355	-6.363	0.033
1.356	-6.363	0.033
1.357	-6.363	0.033
1.358	-6.363	0.033
1.359	-6.363	0.033
1.360	-6.363	0.033
1.361	-6.363	0.033
1.362	-6.363	0.033
1.363	-6.363	0.033
1.364	-6.363	0.033
1.365	-6.363	0.033
1.366	-6.363	0.033
1.367	-6.363	0.033
1.368	-6.363	0.033
1.369	-6.363	0.033
1.370	-6.363	0.033
1.371	-6.363	0.033
1.372	-6.363	0.033
1.373	-6.363	0.033
1.374	-6.363	0.033
1.375	-6.363	0.033
1.376	-6.363	0.033
1.377	-6.363	0.033
1.378	-6.363	0.033
1.379	-6.363	0.033
1.380	-6.363	0.033
1.381	-6.363	0.033
1.382	-6.363	0.033
1.383	-6.363	0.033
1.384	-6.363	0.033
1.385	-6.363	0.033
1.386	-6.363	0.033
1.387	-6.363	0.033
1.388	-6.363	0.033
1.389	-6.363	0.033
1.390	-6.363	0.033
1.391	-6.363	0.033
1.392	-6.363	0.033
1.393	-6.363	0.033
1.394	-6.363	0.033
1.395	-6.363	0.033
1.396	-6.363	0.033
1.397	-6.363	0.033
1.398	-6.363	0.033
1.399	-6.363	0.033
1.400	-6.363	0.033
1.401	-6.363	0.033
1.402	-6.363	0.033
1.403	-6.363	0.033
1.404	-6.363	0.033
1.405	-6.363	0.033
1.406	-6.363	0.033
1.407	-6.363	0.033
1.408	-6.363	0.033
1.409	-6.363	0.033
1.410	-6.363	0.033
1.411	-6.363	0.033
1.412	-6.363	0.033
1.413	-6.363	0.033
1.414	-6.363	0.033
1.415	-6.363	0.033
1.416	-6.363	0.033
1.417	-6.363	0.033
1.418	-6.363	0.033
1.419	-6.363	0.033
1.420	-6.363	0.033
1.421	-6.363	0.033
1.422	-6.363	0.033
1.423	-6.363	0.033
1.424	-6.363	0.033
1.425	-6.363	0.033
1.426	-6.363	0.033
1.427	-6.363	0.033
1.428	-6.363	0.033
1.429	-6.363	0.033
1.430	-6.363	0.033
1.431	-6.363	0.033
1.432	-6.363	0.033
1.433	-6.363	0.033
1.434	-6.363	0.033
1.435	-6.363	0.033
1.436	-6.363	0.033
1.437	-6.363	0.033
1.438	-6.363	0.033
1.439	-6.363	0.033
1.440	-6.363	0.033
1.441	-6.363	0.033
1.442	-6.363	0.033
1.443	-6.363	0.033
1.444	-6.363	0.033
1.445	-6.363	0.033
1.446	-6.363	0.033
1.447	-6.363	0.033
1.448	-6.363	0.033
1.449	-6.363	0.033
1.450	-6.363	0.033
1.451	-6.363	0.033
1.452	-6.363	0.033
1.453	-6.363	0.033
1.454	-6.363	0.033
1.455	-6.363	0.033
1.456	-6.363	0.033
1.457	-6.363	0.033
1.458	-6.363	0.033
1.459	-6.363	0.033
1.460	-6.363	0.033
1.461	-6.363	0.033
1.462	-6.363	0.033
1.463	-6.363	0.033
1.464	-6.363	0.033
1.465	-6.363	0.033
1.466	-6.363	0.033
1.467	-6.363	0.033
1.468	-6.363	0.033
1.469	-6.363	0.033
1.470	-6.363	0.033
1.471	-6.363	0.033
1.472	-6.363	0.033
1.473	-6.363	0.033
1.474	-6.363	0.033
1.475	-6.363	0.033
1.476	-6.363	0.033
1.477	-6.363	0.033
1.478	-6.363	0.033
1.479	-6.363	0.033
1.480	-6.363	0.033
1.481	-6.363	0.033
1.482	-6.363	0.033
1.483	-6.363	0.033
1.484	-6.363	0.033
1.485	-6.363	0.033
1.486	-6.363	0.033
1.487	-6.363	0.033
1.488	-6.363	0.033
1.489	-6.363	0.033
1.490	-6.363	0.033
1.491	-6.363	0.033
1.492	-6.363	0.033
1.493	-6.363	0.033
1.494	-6.363	0.033
1.495	-6.363	0.033
1.496	-6.363	0.033
1.497	-6.363	0.033
1.498	-6.363	0.033
1.499	-6.363	0.033
1.500	-6.363	0.033
1.501	-6.363	0.033
1.502	-6.363	0.033
1.503	-6.363	0.033
1.504	-6.363	0.033
1.505	-6.363	0.033
1.506	-6.363	0.033
1.507	-6.363	0.033
1.508	-6.363	0.033
1.509	-6.363	0.033
1.510	-6.363	0.033
1.511	-6.363	0.033
1.512	-6.363	0.033
1.513	-6.363	0.033
1.514	-6.363	0.033
1.515	-6.363	0.033
1.516	-6.363	0.032
1.517	-6.363	0.032
