volume_factor,mixing_rate,total_carbon_added,tau
0.5,0.01,774.3762055363195,4.691754936373331
0.5,1.12,1064.7627968226293,1.4368499492643327
0.5,2.23,1221.8660409322392,0.8483246932925951
0.5,3.34,1323.3464827889957,0.6018219682782546
0.5,4.45,1390.6593018199046,0.4663204703494792
0.5,5.5600000000000005,1448.7714694987887,0.3806225031163795
0.5,6.67,1487.0690014243755,0.32153285577943114
0.5,7.78,1519.2032714065228,0.278324445378079
0.5,8.89,1557.342212705224,0.2453532464058626
0.5,10.0,1584.8458247235449,0.21936640446783706
2.111111111111111,0.01,785.6408558704304,19.80963195357629
2.111111111111111,1.12,1200.610493296581,6.066699785782739
2.111111111111111,2.23,1540.5600299071352,3.5818153716798458
2.111111111111111,3.34,1827.9988871377566,2.541026088285964
2.111111111111111,4.45,2063.576634021502,1.9689086525866901
2.111111111111111,5.5600000000000005,2264.103835903655,1.6070727909358247
2.111111111111111,6.67,2442.9637158122277,1.357583168846487
2.111111111111111,7.78,2603.657185162423,1.1751476582630003
2.111111111111111,8.89,2744.6500142808018,1.0359359292691976
2.111111111111111,10.0,2865.2771621332445,0.9262137077530899
3.7222222222222223,0.01,784.4660264415947,34.92750897077925
3.7222222222222223,1.12,1236.696425611558,10.696549622301145
3.7222222222222223,2.23,1619.8902126335788,6.315306050067097
3.7222222222222223,3.34,1973.0680949076968,4.480230208293674
3.7222222222222223,4.45,2285.501595261633,3.471496834823901
3.7222222222222223,5.5600000000000005,2568.857771878491,2.83352307875527
3.7222222222222223,6.67,2827.354118740465,2.3936334819135427
3.7222222222222223,7.78,3061.5028181118305,2.0719708711479217
3.7222222222222223,8.89,3281.0411613784113,1.8265186121325327
3.7222222222222223,10.0,3469.7674472516023,1.6330610110383428
5.333333333333334,0.01,785.4792781442997,50.04538598798221
5.333333333333334,1.12,1245.2022843140821,15.326399458819552
5.333333333333334,2.23,1656.2377485951931,9.048796728454347
5.333333333333334,3.34,2042.546971972285,6.419434328301382
5.333333333333334,4.45,2391.8928109983253,4.974085017061112
5.333333333333334,5.5600000000000005,2719.521286857425,4.059973366574715
5.333333333333334,6.67,3024.9089774889503,3.429683794980599
5.333333333333334,7.78,3309.4630426733465,2.968794084032843
5.333333333333334,8.89,3575.33262954054,2.6171012949958676
5.333333333333334,10.0,3821.965909681088,2.3399083143235955
6.944444444444445,0.01,782.8817481927497,65.16326300518517
6.944444444444445,1.12,1249.277096515292,19.956249295337958
6.944444444444445,2.23,1678.2389917587152,11.782287406841599
6.944444444444445,3.34,2080.796446030482,8.358638448309092
6.944444444444445,4.45,2457.6402659878345,6.476673199298323
6.944444444444445,5.5600000000000005,2816.409745880878,5.28642365439416
6.944444444444445,6.67,3148.148324518928,4.465734108047655
6.944444444444445,7.78,3465.7219574543087,3.865617296917764
6.944444444444445,8.89,3764.041428363936,3.407683977859203
6.944444444444445,10.0,4045.8350741630306,3.0467556176088486
8.555555555555555,0.01,784.4570192117025,80.28114002238812
8.555555555555555,1.12,1261.5025387778232,24.58609913185636
8.555555555555555,2.23,1697.9983540813735,14.515778085228847
8.555555555555555,3.34,2108.5930826486733,10.297842568316801
8.555555555555555,4.45,2501.750169132861,7.979261381535533
8.555555555555555,5.5600000000000005,2876.121904108975,6.512873942213605
8.555555555555555,6.67,3235.533979299979,5.50178442111471
8.555555555555555,7.78,3576.0034235255553,4.762440509802685
8.555555555555555,8.89,3896.224665125593,4.198266660722537
8.555555555555555,10.0,4210.504833651756,3.753602920894101
10.166666666666668,0.01,789.9743916279936,95.39901703959109
10.166666666666668,1.12,1265.6449631006378,29.215948968374768
10.166666666666668,2.23,1706.7339378571344,17.2492687636161
10.166666666666668,3.34,2130.049662558904,12.237046688324511
10.166666666666668,4.45,2533.700156147195,9.481849563772744
