latitude,longitude,ref.,average_14C_age
-1.265666667,-89.698,Bova et al. 2018,2651.0
-1.2,-89.68333333,Stott et al. (2009),7617.714285714285
0.57,-89.21,Stott et al. (2019),4316.0
22.91,-109.5,"Rafter, P. A., Herguera, J.-C., & Southon, J. R. (2018). Extreme lowering of deglacial seawater radiocarbon recorded by both epifaunal and infaunal benthic foraminifera in a wood-dated sediment core. Climate of the Past, 14(12), 1977–1989. https://doi.org/10.5194/cp-14-1977-2018",3752.68
23.5,-111.6,Lindsay et al. (2016),2840.6
23.5,-111.6,"Marchitto et al., 2007",2576.375
23.5,-111.6,van Geen et al. 2003,2555.0
